mode,seed,best_makespan,best_energy,best_reliability,best_hv,igd
RL-AOS-GA,0,842.6176075176048,316669.30893161043,-71.16724664502162,628974511449.3843,0.13977568421465383
RL-AOS-GA,1,828.6415974165945,303941.2026733779,-81.04797363997115,455984103679.6832,0.15693257268878982
RL-AOS-GA,2,852.8903347903321,326232.1838975808,-76.2695243037518,326705692742.0174,0.26262520456762084
RL-AOS-GA,3,841.1069653819627,315232.8548279055,-76.2212928246753,319587349976.58264,0.2705436707171141
RL-AOS-GA,4,841.4992813992785,315698.9298819386,-71.25305898989895,386544285710.27875,0.22392166035267963
RL-AOS-GA,5,831.8318932318905,306859.45216833113,-61.36433232683975,486202640441.93787,0.09213398936280713
RL-AOS-GA,6,840.6957099707073,314990.2118660765,-66.28816006854254,329028902026.5124,0.14235430282544512
RL-AOS-GA,7,838.8865469115443,313222.6996575016,-76.37325850288599,319329211953.2584,0.3368334419014502
RL-AOS-GA,8,849.7523477773452,323175.98671589256,-66.2538429329004,313293425578.0052,0.21862380680950247
RL-AOS-GA,9,847.1670303170274,320925.18355085264,-66.31387962842709,439242768837.1769,0.21979505429041152
Static NSGA-II,0,848.5573622073595,322108.00615754473,-71.13412585858582,538907199210.4545,0.2010807663605279
Static NSGA-II,1,845.6921024670996,319690.1772618917,-76.31001059523803,344948381237.83826,0.36952741929233335
Static NSGA-II,2,830.0295844295817,305390.0412877612,-76.41399319264067,334218315578.3215,0.27490790288767647
Static NSGA-II,3,840.7777806777776,315057.3402982408,-56.22465608225104,414843288839.7774,0.1107223656456138
Static NSGA-II,4,835.9080115580089,310595.4049904596,-81.20316293650787,384972960161.7452,0.2074465774844842
Static NSGA-II,5,835.3728383978357,310090.078464785,-66.43772822150063,395223878539.2033,0.19855389646530175
Static NSGA-II,6,841.171178946176,315410.11894540896,-76.3165360353535,291714597262.2965,0.2245074748615508
Static NSGA-II,7,836.4536464786438,311000.5022889769,-61.226827536074985,449000370537.2174,0.09251607488928511
Static NSGA-II,8,824.4583362333335,300129.4887487425,-66.18942533189032,384397582390.8219,0.0686291948547909
Static NSGA-II,9,831.8239567239539,306997.99967027915,-61.11663159812407,547127604292.4808,0.041005338992794
