mode,seed,best_hv
RL-AOS-GA,0,628974511449.3843
RL-AOS-GA,1,455984103679.6832
RL-AOS-GA,2,326705692742.0174
RL-AOS-GA,3,319587349976.58264
RL-AOS-GA,4,386544285710.27875
RL-AOS-GA,5,486202640441.93787
RL-AOS-GA,6,329028902026.5124
RL-AOS-GA,7,319329211953.2584
RL-AOS-GA,8,313293425578.0052
RL-AOS-GA,9,439242768837.1769
Static NSGA-II,0,538907199210.4545
Static NSGA-II,1,344948381237.83826
Static NSGA-II,2,334218315578.3215
Static NSGA-II,3,414843288839.7774
Static NSGA-II,4,384972960161.7452
Static NSGA-II,5,395223878539.2033
Static NSGA-II,6,291714597262.2965
Static NSGA-II,7,449000370537.2174
Static NSGA-II,8,384397582390.8219
Static NSGA-II,9,547127604292.4808
