mode,metric,n,mean,std,median,q25,q75,min,max
RL-AOS-GA,best_makespan,10,841.5089314714287,7.43599917548583,841.3031233906206,839.3388376763351,846.0296746171717,828.6415974165945,852.8903347903321
Static NSGA-II,best_makespan,10,837.0244798119769,7.28468467701911,836.1808290183263,832.7111771424243,841.0728293790764,824.4583362333335,848.5573622073595
RL-AOS-GA,best_energy,10,315694.8014171068,6817.809604204007,315465.892354922,313664.5777096453,319861.2148960421,303941.2026733779,326232.1838975808
Static NSGA-II,best_energy,10,311646.91581140907,6643.965124725662,310797.95363971824,307771.01936890563,315321.92428361694,300129.4887487425,322108.00615754473
RL-AOS-GA,best_reliability,10,-71.25525698629146,6.180948987269714,-71.21015281746028,-76.25746643398267,-66.29458995851368,-81.04797363997115,-61.36433232683975
Static NSGA-II,best_reliability,10,-69.25730973881669,8.266320770319115,-68.78592704004322,-76.31490467532463,-62.46747698502882,-81.20316293650787,-56.22465608225104
RL-AOS-GA,best_hv,10,400489289239.4837,103071739682.59921,357786593868.39557,321366935667.94135,451798769969.05664,313293425578.0052,628974511449.3843
Static NSGA-II,best_hv,10,408535417805.0157,83273489032.06157,390098419350.47424,354810681526.08417,440461100112.8574,291714597262.2965,547127604292.4808
RL-AOS-GA,igd,10,0.20635393877304747,0.07376298493423386,0.219209430549957,0.14599887029128128,0.2529493185138855,0.09213398936280713,0.3368334419014502
Static NSGA-II,igd,10,0.1788897011734358,0.10144210203065424,0.19981733141291483,0.09706764757836728,0.22024225051728413,0.041005338992794,0.36952741929233335
