mode,seed,elapsed_s,generations,pop_size,instance
RL-AOS-GA,0,48.01288258400018,50,30,default
RL-AOS-GA,1,47.950799582999025,50,30,default
RL-AOS-GA,2,47.92976933300088,50,30,default
RL-AOS-GA,3,48.15479654199589,50,30,default
RL-AOS-GA,4,47.98268941599963,50,30,default
RL-AOS-GA,5,47.873335500000394,50,30,default
RL-AOS-GA,6,47.863185166999756,50,30,default
RL-AOS-GA,7,47.98319941700174,50,30,default
RL-AOS-GA,8,48.15659391599911,50,30,default
RL-AOS-GA,9,48.35539620799682,50,30,default
Static NSGA-II,0,47.5840377919958,50,30,default
Static NSGA-II,1,47.659373125003185,50,30,default
Static NSGA-II,2,47.86033266600134,50,30,default
Static NSGA-II,3,47.47994158399524,50,30,default
Static NSGA-II,4,47.517490957994596,50,30,default
Static NSGA-II,5,47.69158687500021,50,30,default
Static NSGA-II,6,47.4312105420031,50,30,default
Static NSGA-II,7,47.581145584001206,50,30,default
Static NSGA-II,8,47.7713308329985,50,30,default
Static NSGA-II,9,47.74194079199515,50,30,default
