mode,seed,igd
RL (No HV Reward),0,0.11390417524918697
RL (No HV Reward),1,0.10808216655904827
RL (No HV Reward),2,0.1872348061723394
RL (No HV Reward),3,0.17897543500773744
RL (No HV Reward),4,0.21954425941615438
RL (No HV Reward),5,0.12193449524238248
RL (No HV Reward),6,0.15673969761938872
RL (No HV Reward),7,0.08598925266040808
RL (No HV Reward),8,0.11463448885274842
RL (No HV Reward),9,0.0788428311997939
RL (No HV Reward),10,0.1462108144544177
RL (No HV Reward),11,0.16031820074932027
RL (Random Operator),0,0.10804540816763979
RL (Random Operator),1,0.1428397255364672
RL (Random Operator),2,0.20986102494054773
RL (Random Operator),3,0.2034639490224956
RL (Random Operator),4,0.2160079700969526
RL (Random Operator),5,0.1774893840650119
RL (Random Operator),6,0.1882166143014338
RL (Random Operator),7,0.3582633416227807
RL (Random Operator),8,0.25210163411362924
RL (Random Operator),9,0.24262370962124843
RL (Random Operator),10,0.25455440900096943
RL (Random Operator),11,0.13165758615930756
RL-AOS-GA,0,0.2593456336779424
RL-AOS-GA,1,0.11414843983965885
RL-AOS-GA,2,0.10706837234471733
RL-AOS-GA,3,0.3611979590048639
RL-AOS-GA,4,0.2512482032063606
RL-AOS-GA,5,0.12136370849034432
RL-AOS-GA,6,0.13547342481516234
RL-AOS-GA,7,0.08178288845830439
RL-AOS-GA,8,0.14879139590618706
RL-AOS-GA,9,0.0788428311997939
RL-AOS-GA,10,0.15075066991116934
RL-AOS-GA,11,0.16031820074932027
Static NSGA-II,0,0.10702035405418457
Static NSGA-II,1,0.10388990218560441
Static NSGA-II,2,0.11852763579972271
Static NSGA-II,3,0.09719602964741403
Static NSGA-II,4,0.2638750087780439
Static NSGA-II,5,0.10423046693484282
Static NSGA-II,6,0.03326439805829948
Static NSGA-II,7,0.1002086825714159
Static NSGA-II,8,0.12367278722795527
Static NSGA-II,9,0.06860227590448391
Static NSGA-II,10,0.06999471934631483
Static NSGA-II,11,0.06116704706290435
