mode,seed,elapsed_s,generations,pop_size,instance
RL (No HV Reward),0,52.78243237499555,50,30,ta01
RL (No HV Reward),1,52.76562091699452,50,30,ta01
RL (No HV Reward),2,52.71183416599524,50,30,ta01
RL (No HV Reward),3,52.692513791997044,50,30,ta01
RL (No HV Reward),4,52.96881533299893,50,30,ta01
RL (No HV Reward),5,52.66087354099727,50,30,ta01
RL (No HV Reward),6,52.5238840420061,50,30,ta01
RL (No HV Reward),7,53.44760562499869,50,30,ta01
RL (No HV Reward),8,52.51202766699862,50,30,ta01
RL (No HV Reward),9,52.19708504200389,50,30,ta01
RL (No HV Reward),10,52.1630935830035,50,30,ta01
RL (No HV Reward),11,52.126893666005344,50,30,ta01
RL (Random Operator),0,52.611778332997346,50,30,ta01
RL (Random Operator),1,52.69188791700435,50,30,ta01
RL (Random Operator),2,52.849758542004565,50,30,ta01
RL (Random Operator),3,52.83490858300502,50,30,ta01
RL (Random Operator),4,52.87298849999934,50,30,ta01
RL (Random Operator),5,52.657120124997164,50,30,ta01
RL (Random Operator),6,53.17961566699523,50,30,ta01
RL (Random Operator),7,52.77625083399471,50,30,ta01
RL (Random Operator),8,52.7863587920001,50,30,ta01
RL (Random Operator),9,52.96155520799948,50,30,ta01
RL (Random Operator),10,52.76205808400118,50,30,ta01
RL (Random Operator),11,52.69645499999751,50,30,ta01
RL-AOS-GA,0,52.34156133399665,50,30,ta01
RL-AOS-GA,1,52.38995262500248,50,30,ta01
RL-AOS-GA,2,52.423033166000096,50,30,ta01
RL-AOS-GA,3,52.326152916000865,50,30,ta01
RL-AOS-GA,4,52.32382195899845,50,30,ta01
RL-AOS-GA,5,52.164339167000435,50,30,ta01
RL-AOS-GA,6,52.28666299999895,50,30,ta01
RL-AOS-GA,7,52.181740749998426,50,30,ta01
RL-AOS-GA,8,52.353885209005966,50,30,ta01
RL-AOS-GA,9,52.44410433300072,50,30,ta01
RL-AOS-GA,10,52.2963002089964,50,30,ta01
RL-AOS-GA,11,52.53428604200599,50,30,ta01
Static NSGA-II,0,52.74078841700248,50,30,ta01
Static NSGA-II,1,52.64242066600127,50,30,ta01
Static NSGA-II,2,52.69538766700134,50,30,ta01
Static NSGA-II,3,52.27992387500126,50,30,ta01
Static NSGA-II,4,52.51520329199411,50,30,ta01
Static NSGA-II,5,52.2250169580002,50,30,ta01
Static NSGA-II,6,52.3077694579988,50,30,ta01
Static NSGA-II,7,52.39969504200417,50,30,ta01
Static NSGA-II,8,52.440297749999445,50,30,ta01
Static NSGA-II,9,52.640802666996024,50,30,ta01
Static NSGA-II,10,52.60861091599509,50,30,ta01
Static NSGA-II,11,52.85159095800191,50,30,ta01
