mode,seed,best_makespan,best_energy,best_reliability,best_hv,igd
RL (No HV Reward),0,1534.6302337802308,956531.185441318,-165.0508080699855,5652073075696.936,0.35863405899435546
RL (No HV Reward),1,1473.381316031313,900500.5685152679,-158.96842593073592,7263976049814.591,0.11868552247247977
RL (No HV Reward),2,1499.9772756272723,925002.26600306,-169.6590754797979,6636740736535.724,0.238734077806065
RL (No HV Reward),3,1472.804656579653,899906.8092015808,-138.8789595310246,8016638533163.278,0.08165037555987578
RL (No HV Reward),4,1468.326121226118,896079.9671595537,-128.9481147582972,8333426905699.576,0.05472706976210887
RL (No HV Reward),5,1565.6412366662337,985228.9001437312,-169.67115971139975,6421189588800.781,0.3025713908061803
RL (No HV Reward),6,1566.415587315584,986173.1966784028,-159.45863846320353,6469086034988.929,0.26742462728329713
RL (No HV Reward),7,1521.9848513848478,945102.052882811,-169.49515,6728703504842.934,0.21141788592209262
RL (No HV Reward),8,1513.325399725397,936734.5087444097,-189.24920275252524,5733298795032.007,0.3693246839657564
RL (No HV Reward),9,1460.6522395522366,888717.2639137313,-153.85554385642138,7339471189242.053,0.153145573031982
RL (No HV Reward),10,1440.3371241121206,870197.0307672266,-165.050651417749,6463962431683.251,0.18788648016094858
RL (No HV Reward),11,1522.9264098264066,945759.707656924,-164.55129556637817,6481040872827.816,0.2554168570978178
RL (Random Operator),0,1561.8012294512266,981469.3925059862,-184.3352315728716,5541516210905.178,0.3947628105813457
RL (Random Operator),1,1542.2658759158726,964090.2345967036,-159.59511582251085,6427825757699.504,0.24280958477109857
RL (Random Operator),2,1515.5526724526692,939248.7840504086,-128.9939894516595,8593152181961.682,0.11517819239165838
RL (Random Operator),3,1547.6520591770557,968525.802599236,-159.6601461147186,6013454089852.23,0.3187878857011226
RL (Random Operator),4,1573.5128095378066,992491.2347930028,-169.38116947691194,5475672043904.719,0.3667872940584997
RL (Random Operator),5,1540.6356450356425,962264.1230760586,-169.6257752705628,5380873182552.169,0.39816237660410075
RL (Random Operator),6,1513.1098513848483,936779.8169869815,-169.27247138528145,5709519312220.127,0.2702297157850712
RL (Random Operator),7,1542.1412366662332,963508.3247765882,-164.99483543650794,5495284636199.814,0.34187029288674525
RL (Random Operator),8,1518.2261933761904,941828.0328022056,-168.80393655122649,6619910076920.145,0.24753387956567488
RL (Random Operator),9,1455.0645772145742,883411.9120103368,-160.068218553391,7315583475677.951,0.1542732723193502
RL (Random Operator),10,1544.385645035642,965625.70405801,-149.86480800144295,6742477485491.494,0.2255247921071787
RL (Random Operator),11,1496.9209985709952,921935.908354236,-159.4657720923521,6852424009170.57,0.17941100151908715
RL-AOS-GA,0,1438.4666334916303,868330.5262100229,-153.8960118542568,7222131169714.652,0.11036457415538414
RL-AOS-GA,1,1473.381316031313,900500.5685152679,-158.96842593073592,7263976049814.591,0.11868552247247977
RL-AOS-GA,2,1499.9772756272723,925002.26600306,-169.6590754797979,6636740736535.724,0.238734077806065
RL-AOS-GA,3,1556.720421370418,976881.5579416028,-140.02452802308807,7045416883142.004,0.20859034693028566
RL-AOS-GA,4,1513.901157301154,937601.8673653328,-144.62026655483407,7173470591261.315,0.15486164917341966
RL-AOS-GA,5,1567.2911284411252,986678.6720099866,-170.01855949134196,6286142571863.641,0.31914403619480153
RL-AOS-GA,6,1539.7328672578635,961462.1067212129,-149.42815625901886,7252737293494.361,0.20488538057580702
RL-AOS-GA,7,1434.4137835637805,864491.6272495537,-173.83908132034634,7642497466084.492,0.15416800281984927
RL-AOS-GA,8,1487.0880259880228,912883.467449496,-189.6977647402597,5542162136832.924,0.3550270878577947
RL-AOS-GA,9,1474.9444473444444,901467.2250627103,-169.81003486291488,6816759554541.924,0.2306568144701454
RL-AOS-GA,10,1513.8196277196248,937906.5322299834,-169.44346909451662,6069963966776.351,0.29513357866685264
RL-AOS-GA,11,1523.2162727412697,946187.1533843768,-169.00034641414146,6496385622276.014,0.22474896250101561
Static NSGA-II,0,1463.248379523376,891471.1744318333,-153.8663510642135,7722600091985.933,0.09744208413985225
Static NSGA-II,1,1477.251626276623,903879.8094554266,-148.9409774170274,7329253370275.262,0.12063533213522355
Static NSGA-II,2,1518.6847070847043,942202.154322321,-159.09151787878784,6833072290943.897,0.20316058934443001
Static NSGA-II,3,1463.4989206489176,891014.1581114045,-149.23675254329007,7645979936364.766,0.09280804025126749
Static NSGA-II,4,1455.369591644588,883915.043989723,-143.98120045454547,8484529149711.71,0.04374363383541079
Static NSGA-II,5,1470.559887459884,898173.48125236,-134.10995122294372,8323208954860.235,0.05863510832557397
Static NSGA-II,6,1474.1565685565652,901353.9285189548,-144.33478378787876,7785158701973.892,0.0879034594938324
Static NSGA-II,7,1481.8145772145742,908156.0832597524,-159.10004654761906,7025894387734.116,0.16907840829097323
Static NSGA-II,8,1457.1516984266952,885322.6017966893,-153.63753016955272,7812975762891.3955,0.08341700577898195
Static NSGA-II,9,1513.8127734627706,937371.931697043,-138.63637087662335,7659193609174.7,0.12336960903018372
Static NSGA-II,10,1489.1627013126983,915246.8777529234,-134.74884245310238,7794907441810.867,0.10386607606217212
Static NSGA-II,11,1507.5032496532465,931813.0467166712,-154.05158916666667,7653280491248.518,0.1448749426109913
