mode,metric,n,mean,std,median,q25,q75,min,max
RL (No HV Reward),best_makespan,12,1503.3668709856177,41.04191520276489,1506.6513376763346,1471.6850227412692,1525.8523658148627,1440.3371241121206,1566.415587315584
RL (Random Operator),best_makespan,12,1529.2723994848966,31.866216164730034,1541.388440850938,1514.941967185714,1545.2022485709954,1455.0645772145742,1573.5128095378066
RL-AOS-GA,best_makespan,12,1501.9127464064932,42.42027918914476,1506.8984516734486,1474.5536645161615,1527.345421370418,1434.4137835637805,1567.2911284411252
Static NSGA-II,best_makespan,12,1481.0178901053869,21.916106195271478,1475.704097416594,1463.4362853675323,1493.7478383978355,1455.369591644588,1518.6847070847043
RL (No HV Reward),best_energy,12,927994.4547590014,37676.99163153176,930868.3873737348,898950.0986910741,948452.5771030225,870197.0307672266,986173.1966784028
RL (Random Operator),best_energy,12,951764.9392174794,29319.468338487695,962886.2239263235,938631.5422845519,966350.7286933165,883411.9120103368,992491.2347930028
RL-AOS-GA,best_energy,12,926616.1308452172,39012.69590190838,931302.0666841965,901225.5609258497,950005.8917185857,864491.6272495537,986678.6720099866
Static NSGA-II,best_energy,12,907493.3576087585,20142.215704608512,902616.8689871908,891356.9203517261,919388.4199938604,883915.043989723,942202.154322321
RL (No HV Reward),best_reliability,12,-161.0697521281265,15.491739407437002,-164.80097349206358,-169.5361313699495,-157.6902054121573,-189.24920275252524,-128.9481147582972
RL (Random Operator),best_reliability,12,-162.0051224774531,13.40868066762964,-162.53152699494947,-169.29964590818906,-159.56277988997115,-184.3352315728716,-128.9939894516595
RL-AOS-GA,best_reliability,12,-163.20047666877102,14.130220904707805,-169.22190775432904,-169.86216602002165,-152.7790479554473,-189.6977647402597,-140.02452802308807
Static NSGA-II,best_reliability,12,-147.81132613185426,8.722108365206951,-149.08886498015875,-153.91266058982677,-142.64499306006493,-159.10004654761906,-134.10995122294372
RL (No HV Reward),best_hv,12,6794967309860.656,814225142654.1555,6558890804681.77,6453269220962.634,7282849834671.456,5652073075696.936,8333426905699.576
RL (Random Operator),best_hv,12,6347307705212.965,956351597232.8524,6220639923775.867,5529958317228.837,6769964116411.264,5380873182552.169,8593152181961.682
RL-AOS-GA,best_hv,12,6787365336861.499,603347477559.4567,6931088218841.964,6443824859672.92,7229782700659.58,5542162136832.924,7642497466084.492
Static NSGA-II,best_hv,12,7672504515747.941,464615013305.84814,7690896850580.316,7566798294842.39,7799424522080.999,6833072290943.897,8484529149711.71
RL (No HV Reward),igd,12,0.21663488357191332,0.10195750157203384,0.22507598186407882,0.14453056039210643,0.2762113181640179,0.05472706976210887,0.3693246839657564
RL (Random Operator),igd,12,0.2712775915242444,0.09423188047307693,0.25888179767537306,0.2139963444601558,0.34809954317968383,0.11517819239165838,0.39816237660410075
RL-AOS-GA,igd,12,0.21791666946865837,0.07708434005011888,0.21666965471565064,0.15468823758502706,0.25283395302126194,0.11036457415538414,0.3550270878577947
Static NSGA-II,igd,12,0.11074452410824105,0.04511065273159337,0.10065408010101218,0.08678184606511978,0.12874594242538562,0.04374363383541079,0.20316058934443001
