mode,seed,best_hv
RL (No HV Reward),0,5765559052215.477
RL (No HV Reward),1,5768393695387.832
RL (No HV Reward),2,6403007723958.236
RL (No HV Reward),3,5860181479314.005
RL (No HV Reward),4,4751621144134.223
RL (No HV Reward),5,6344253049068.702
RL (No HV Reward),6,5244669370946.23
RL (No HV Reward),7,6716203187785.019
RL (No HV Reward),8,4644219309168.094
RL (No HV Reward),9,5976605990461.538
RL (No HV Reward),10,4885712654901.599
RL (No HV Reward),11,6238116963520.618
RL (Random Operator),0,5768538720355.196
RL (Random Operator),1,3638352540856.565
RL (Random Operator),2,4599135047005.751
RL (Random Operator),3,5485242754854.562
RL (Random Operator),4,5633311587322.503
RL (Random Operator),5,5393287341031.082
RL (Random Operator),6,5756563685377.64
RL (Random Operator),7,4203138339854.222
RL (Random Operator),8,4785309136862.592
RL (Random Operator),9,5897550025061.028
RL (Random Operator),10,5860677909532.028
RL (Random Operator),11,5377543594729.234
RL-AOS-GA,0,6753927350053.673
RL-AOS-GA,1,5486840520790.144
RL-AOS-GA,2,5642460005585.05
RL-AOS-GA,3,6328212237806.087
RL-AOS-GA,4,5966698121113.591
RL-AOS-GA,5,6376568179317.115
RL-AOS-GA,6,5298268626207.587
RL-AOS-GA,7,5567633252912.817
RL-AOS-GA,8,4644219309168.094
RL-AOS-GA,9,7061946099157.964
RL-AOS-GA,10,4518894007600.513
RL-AOS-GA,11,6475316024929.504
Static NSGA-II,0,5771796414768.763
Static NSGA-II,1,7841544750519.701
Static NSGA-II,2,7193069519523.199
Static NSGA-II,3,7598011887795.524
Static NSGA-II,4,6456592434119.23
Static NSGA-II,5,6094273894424.954
Static NSGA-II,6,7203080806797.504
Static NSGA-II,7,5645796448039.922
Static NSGA-II,8,5655681585552.87
Static NSGA-II,9,5574749526931.296
Static NSGA-II,10,6352150825414.274
Static NSGA-II,11,6138080322859.502
