Generation,Best_Makespan,Best_Energy,Best_Reliability,Hypervolume
0,914.8286464786438,383223.1729932735,-166.4927532720058,147854181812.7992
1,898.4693391193365,368143.63322258816,-141.461607085137,164967537581.62906
2,898.4693391193365,368143.63322258816,-141.461607085137,178566483169.6372
3,887.8741010240982,358371.72837786213,-151.45280119408378,190421767450.81924
4,887.8741010240982,358371.72837786213,-151.45280119408378,194174277943.3805
5,887.8741010240982,358371.72837786213,-151.45280119408378,201794210747.638
6,887.8741010240982,358371.72837786213,-151.45280119408378,210556897185.96512
7,887.8741010240982,358371.72837786213,-151.45280119408378,209737983550.481
8,886.1298730298705,356894.56535689556,-151.30152161255415,215321715467.90112
9,886.1298730298705,356894.56535689556,-151.30152161255415,223066681318.82855
10,883.8910562910536,354735.5592334394,-151.38181998557005,225297220613.90762
11,883.8910562910536,354735.5592334394,-151.38181998557005,229778661412.36923
12,871.6183290183263,343522.9081876025,-151.2740407683984,239403580162.53027
13,871.6183290183263,343522.9081876025,-151.2740407683984,246122814027.02545
14,871.6183290183263,343522.9081876025,-151.2740407683984,258241580585.62863
15,866.8585887585859,339097.35959453956,-136.2197070995672,257584567250.79987
16,866.8585887585859,339097.35959453956,-136.2197070995672,264151069026.22952
17,866.8585887585859,339097.35959453956,-136.2197070995672,265169173600.8944
18,864.0357171857145,336486.8122814626,-131.2417347077923,266059167810.01294
19,860.1645050645024,332888.77505409595,-136.15373856782114,271008128177.2585
20,856.131676781674,329272.0350081579,-141.2374676948053,278551036260.9365
21,856.131676781674,329272.0350081579,-141.2374676948053,290531913161.129
22,856.131676781674,329272.0350081579,-141.2374676948053,290914527071.4459
23,856.131676781674,329272.0350081579,-141.2374676948053,297499115728.0776
24,856.131676781674,329272.0350081579,-141.2374676948053,306028712395.1919
25,856.131676781674,329272.0350081579,-141.2374676948053,314080274915.6348
26,856.131676781674,329272.0350081579,-141.2374676948053,317259245603.7895
27,856.131676781674,329272.0350081579,-141.2374676948053,311183862400.67664
28,856.131676781674,329272.0350081579,-141.2374676948053,310366082645.6516
29,856.131676781674,329272.0350081579,-141.2374676948053,312654961666.1454
30,856.131676781674,329272.0350081579,-141.2374676948053,313839286870.0989
31,856.131676781674,329272.0350081579,-141.2374676948053,316211379290.86804
32,853.878790778788,327164.09288058215,-146.17376178932184,318065801005.0212
33,853.878790778788,327164.09288058215,-146.17376178932184,320659088313.47473
34,853.878790778788,327164.09288058215,-146.17376178932184,322866058534.76685
35,853.878790778788,327164.09288058215,-146.17376178932184,323729704262.1812
36,853.878790778788,327164.09288058215,-146.17376178932184,327573674243.0912
37,853.878790778788,327125.5401474256,-141.20540682900446,331252615508.9836
38,853.878790778788,327125.5401474256,-141.20540682900446,333369571884.9371
39,853.878790778788,327125.5401474256,-141.20540682900446,331132359442.7004
40,853.878790778788,327125.5401474256,-141.20540682900446,334675162500.1579
41,851.2339495089468,324663.9717143089,-146.19181877344886,332945351450.2967
42,851.2339495089468,324663.9717143089,-146.19181877344886,331190990914.324
43,847.2500029,321010.0050842871,-141.18384923160178,331614935969.7615
44,847.2500029,321010.0050842871,-141.18384923160178,332514826728.99725
45,847.2500029,321010.0050842871,-141.18384923160178,338597799995.5461
46,847.2500029,321010.0050842871,-141.18384923160178,336197972163.801
47,845.6921024670996,319690.1772618917,-121.06052382395391,338532090302.15216
48,845.6921024670996,319690.1772618917,-121.06052382395391,343122547026.30963
49,845.6921024670996,319690.1772618917,-121.06052382395391,344948381237.83826
