Makespan,Energy,Reliability,Schedule
858.4861140111113,331362.26587229944,-81.20316293650787,"[13, 7, 11, 2, 6, 14, 8, 10, 12, 3, 9, 0, 1, 4, 5, 6, 7, 3, 4, 10, 1, 7, 13, 4, 15, 1, 7, 3, 9, 15, 2, 3, 4, 5, 6, 7, 3, 4, 5, 6, 2, 8, 14, 10, 1, 8, 14, 10, 6, 7, 8, 14, 5, 1, 7, 8, 14, 5, 1, 12, 14, 5, 6, 7, 13, 4, 5, 6, 12, 13, 9, 10, 1, 2, 8, 5, 1, 7, 8, 4, 10, 1, 7, 13, 9, 5, 1, 2, 8, 9, 11, 2, 8, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 11, 12, 13, 9, 5, 1, 12, 13, 14, 15, 6, 3, 9, 5, 6, 2, 13, 4, 15, 6, 2, 13, 4, 5, 1, 12, 9, 10, 6, 12, 13, 9, 15, 1, 2, 8, 4, 5, 6, 2, 13, 15, 1, 2, 8, 9, 10, 6, 2, 3, 14, 5, 11, 2, 8, 4, 1, 12, 13, 4, 10, 6, 7, 3, 14, 10, 6, 2, 13, 9, 15, 12, 13, 4, 10, 1, 12, 8, 4, 15, 6, 2, 8, 9, 10, 6, 3, 4, 15, 6, 12, 8, 4, 5, 1, 7, 13, 4, 5, 1, 7, 9, 5, 1, 12, 8, 14, 5, 1, 7, 3, 4, 5, 6, 2, 8, 15, 11, 7, 3, 9, 10, 11, 7, 8, 4, 5, 11, 7, 13, 9]"
850.7748946748919,324227.54947794153,-86.21696174603171,"[13, 7, 11, 2, 6, 14, 8, 10, 12, 3, 9, 0, 1, 4, 5, 6, 7, 3, 4, 10, 1, 7, 13, 4, 15, 1, 7, 3, 4, 15, 2, 3, 4, 5, 6, 12, 3, 4, 5, 6, 2, 8, 14, 10, 1, 8, 4, 10, 6, 7, 8, 14, 15, 1, 7, 8, 4, 5, 1, 2, 9, 10, 6, 7, 8, 4, 5, 6, 12, 8, 9, 10, 6, 2, 3, 5, 1, 7, 8, 4, 10, 1, 7, 13, 9, 5, 1, 2, 8, 9, 11, 2, 8, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 11, 12, 13, 9, 5, 1, 12, 13, 9, 15, 6, 3, 14, 10, 6, 2, 13, 4, 15, 6, 2, 13, 4, 10, 1, 12, 14, 10, 6, 12, 13, 9, 15, 1, 2, 8, 4, 5, 6, 7, 13, 15, 1, 2, 8, 9, 10, 6, 12, 8, 14, 5, 11, 2, 8, 4, 1, 12, 3, 4, 10, 6, 7, 3, 14, 10, 6, 2, 13, 9, 15, 12, 13, 4, 10, 1, 12, 8, 4, 15, 1, 2, 8, 9, 10, 6, 13, 4, 15, 6, 12, 3, 4, 5, 1, 7, 13, 4, 10, 1, 7, 9, 15, 1, 12, 8, 14, 5, 1, 7, 3, 4, 10, 6, 2, 8, 15, 11, 7, 8, 9, 10, 11, 7, 8, 4, 5, 11, 7, 3, 9]"
839.8741010240982,314329.2073203693,-106.1241820310245,"[2, 13, 7, 11, 6, 14, 8, 10, 12, 3, 9, 1, 0, 4, 5, 6, 7, 3, 4, 10, 1, 2, 13, 4, 5, 6, 7, 3, 4, 5, 2, 3, 4, 5, 6, 7, 3, 9, 15, 6, 2, 8, 14, 15, 1, 8, 14, 10, 6, 7, 13, 14, 15, 1, 12, 8, 4, 5, 1, 2, 9, 5, 1, 7, 13, 4, 5, 6, 12, 8, 14, 5, 1, 2, 8, 5, 1, 2, 8, 4, 10, 1, 2, 8, 14, 5, 1, 2, 8, 9, 11, 2, 3, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 1, 12, 13, 4, 5, 1, 2, 13, 14, 15, 6, 3, 9, 15, 6, 2, 13, 4, 10, 6, 2, 8, 14, 10, 1, 12, 14, 10, 6, 7, 8, 9, 15, 1, 2, 13, 4, 5, 6, 2, 13, 10, 1, 2, 13, 4, 10, 1, 12, 3, 14, 5, 11, 2, 8, 4, 1, 2, 3, 4, 5, 6, 7, 8, 14, 15, 6, 2, 13, 9, 15, 12, 8, 4, 15, 1, 12, 8, 4, 5, 1, 2, 8, 9, 10, 6, 3, 4, 15, 11, 12, 3, 14, 5, 1, 7, 3, 4, 10, 1, 7, 9, 5, 1, 2, 8, 14, 5, 11, 12, 3, 4, 15, 6, 7, 8, 10, 11, 7, 3, 9, 5, 11, 7, 8, 4, 5, 11, 7, 3, 4]"
839.8741010240982,314316.352206632,-106.1310709199134,"[2, 13, 7, 11, 6, 14, 8, 10, 12, 3, 9, 1, 0, 4, 5, 6, 7, 3, 4, 10, 1, 2, 13, 4, 5, 6, 7, 3, 4, 5, 2, 3, 4, 5, 6, 7, 3, 9, 15, 6, 2, 8, 14, 15, 1, 13, 14, 10, 6, 7, 13, 14, 15, 1, 12, 8, 4, 5, 1, 2, 9, 5, 1, 7, 13, 4, 5, 6, 12, 8, 14, 5, 1, 2, 8, 5, 1, 2, 8, 4, 10, 1, 2, 8, 14, 5, 1, 2, 8, 9, 11, 2, 3, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 1, 12, 13, 4, 5, 1, 2, 13, 14, 15, 6, 3, 9, 15, 6, 2, 13, 4, 10, 6, 7, 8, 14, 10, 1, 12, 14, 10, 6, 7, 8, 9, 15, 1, 2, 13, 4, 5, 6, 2, 8, 5, 1, 2, 13, 4, 10, 1, 12, 3, 14, 5, 11, 2, 8, 4, 1, 2, 3, 4, 5, 6, 7, 8, 14, 15, 6, 2, 13, 9, 15, 12, 8, 4, 15, 1, 12, 8, 4, 5, 1, 2, 8, 9, 10, 6, 3, 4, 15, 11, 12, 3, 14, 5, 1, 7, 3, 4, 10, 1, 7, 9, 5, 1, 2, 8, 14, 5, 11, 12, 3, 4, 15, 6, 7, 8, 10, 11, 7, 3, 9, 5, 11, 7, 8, 4, 5, 11, 7, 3, 4]"
838.9329033329007,313395.62470193155,-136.14770660894666,"[2, 13, 7, 11, 6, 14, 8, 10, 12, 3, 9, 1, 0, 4, 5, 6, 7, 8, 4, 10, 1, 2, 13, 4, 10, 6, 2, 3, 4, 5, 2, 3, 4, 5, 6, 7, 3, 9, 15, 1, 2, 8, 14, 5, 1, 8, 4, 10, 6, 7, 13, 14, 15, 11, 12, 8, 4, 5, 1, 2, 9, 5, 1, 7, 13, 4, 5, 6, 12, 13, 14, 5, 1, 2, 3, 5, 1, 2, 8, 4, 10, 6, 2, 8, 9, 5, 1, 2, 8, 9, 11, 2, 3, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 1, 12, 3, 4, 5, 1, 2, 13, 9, 15, 11, 3, 9, 15, 6, 2, 13, 4, 10, 6, 7, 8, 14, 10, 1, 12, 14, 10, 6, 7, 8, 9, 15, 11, 2, 3, 14, 5, 6, 2, 8, 10, 1, 2, 3, 4, 10, 6, 2, 3, 14, 15, 11, 2, 8, 4, 1, 2, 3, 4, 5, 6, 7, 3, 14, 15, 6, 2, 13, 9, 15, 12, 8, 4, 15, 1, 12, 8, 4, 5, 6, 7, 8, 9, 10, 6, 3, 4, 15, 11, 12, 3, 14, 5, 1, 7, 13, 4, 10, 1, 7, 9, 15, 1, 2, 8, 14, 5, 11, 12, 3, 4, 15, 6, 7, 8, 10, 11, 7, 3, 9, 5, 11, 7, 8, 4, 5, 11, 7, 3, 14]"
839.8741010240982,314292.77693509514,-131.18097275974029,"[2, 13, 7, 11, 6, 14, 8, 10, 12, 3, 9, 1, 0, 4, 5, 6, 7, 3, 4, 10, 1, 7, 13, 4, 5, 6, 2, 3, 4, 15, 2, 3, 4, 5, 6, 7, 3, 9, 15, 6, 2, 8, 14, 15, 1, 8, 4, 10, 6, 7, 13, 14, 15, 6, 12, 8, 4, 5, 1, 2, 9, 5, 1, 7, 13, 4, 5, 6, 12, 8, 14, 5, 1, 2, 3, 5, 1, 2, 8, 4, 10, 1, 2, 8, 9, 15, 1, 2, 8, 9, 11, 2, 3, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 11, 12, 3, 4, 5, 1, 2, 13, 9, 15, 11, 3, 9, 15, 6, 2, 13, 4, 10, 6, 12, 8, 14, 10, 1, 12, 14, 10, 6, 7, 8, 9, 15, 1, 2, 13, 14, 5, 6, 2, 8, 10, 1, 2, 3, 4, 10, 1, 2, 3, 14, 15, 11, 2, 8, 4, 1, 2, 3, 4, 5, 6, 7, 3, 14, 15, 6, 2, 13, 9, 15, 12, 8, 4, 15, 1, 12, 8, 4, 15, 6, 2, 8, 9, 10, 6, 3, 4, 15, 11, 12, 3, 14, 5, 1, 7, 3, 4, 15, 1, 7, 9, 5, 1, 2, 8, 14, 5, 11, 12, 13, 4, 15, 6, 7, 8, 10, 11, 7, 3, 9, 5, 11, 7, 8, 4, 10, 11, 7, 3, 9]"
838.9329033329007,313398.5458599113,-136.11583362914865,"[2, 13, 7, 3, 11, 14, 9, 10, 12, 6, 8, 1, 0, 4, 5, 6, 7, 3, 4, 10, 1, 7, 13, 4, 10, 6, 2, 3, 4, 5, 2, 3, 4, 5, 6, 7, 3, 9, 15, 6, 2, 8, 14, 5, 1, 8, 4, 10, 6, 7, 13, 14, 15, 6, 7, 8, 4, 5, 1, 2, 9, 5, 1, 7, 13, 4, 5, 6, 12, 13, 14, 5, 1, 2, 3, 5, 1, 2, 8, 4, 10, 1, 2, 8, 9, 5, 1, 2, 8, 9, 11, 2, 3, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 1, 12, 3, 4, 5, 1, 2, 13, 9, 15, 11, 8, 9, 15, 6, 2, 13, 4, 10, 6, 7, 8, 14, 10, 1, 12, 14, 10, 6, 7, 8, 9, 15, 1, 2, 3, 14, 5, 6, 2, 8, 10, 1, 2, 3, 4, 10, 6, 12, 3, 14, 15, 11, 2, 8, 4, 1, 2, 3, 4, 5, 6, 7, 3, 14, 15, 6, 2, 13, 9, 15, 12, 8, 4, 15, 1, 12, 8, 4, 5, 6, 7, 8, 9, 10, 6, 3, 4, 15, 11, 12, 3, 14, 5, 1, 7, 13, 4, 10, 1, 2, 9, 15, 1, 2, 8, 14, 5, 11, 7, 3, 4, 15, 6, 7, 8, 10, 11, 7, 3, 9, 5, 11, 7, 8, 4, 5, 11, 7, 3, 14]"
847.6829033329007,321517.7319273211,-101.15546317821065,"[14, 13, 7, 11, 6, 2, 8, 10, 12, 3, 9, 0, 1, 4, 5, 6, 7, 3, 9, 10, 1, 2, 13, 4, 10, 1, 12, 3, 4, 15, 2, 3, 4, 5, 6, 2, 3, 4, 5, 6, 2, 13, 14, 10, 1, 8, 14, 10, 6, 7, 8, 14, 15, 11, 2, 8, 4, 5, 1, 2, 9, 5, 1, 7, 8, 4, 5, 6, 12, 8, 4, 5, 6, 2, 3, 5, 1, 2, 8, 4, 10, 1, 7, 8, 14, 5, 1, 2, 8, 9, 11, 2, 8, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 11, 12, 13, 9, 5, 6, 7, 13, 4, 15, 6, 3, 9, 15, 6, 2, 13, 4, 10, 6, 12, 3, 4, 10, 1, 12, 9, 5, 6, 12, 13, 9, 15, 1, 2, 13, 4, 5, 1, 2, 13, 10, 1, 2, 8, 4, 15, 6, 2, 3, 4, 15, 11, 2, 3, 4, 1, 2, 13, 4, 5, 6, 2, 3, 14, 15, 1, 2, 13, 9, 15, 2, 13, 4, 5, 1, 12, 8, 4, 15, 1, 2, 8, 9, 10, 6, 3, 4, 15, 6, 12, 3, 14, 5, 1, 2, 13, 4, 10, 1, 7, 9, 5, 1, 2, 8, 14, 5, 6, 7, 3, 4, 15, 6, 2, 8, 10, 11, 7, 8, 9, 10, 11, 7, 13, 4, 5, 11, 7, 3, 9]"
838.9329033329007,313430.81287548493,-136.08201139971143,"[2, 13, 7, 11, 6, 14, 9, 10, 12, 3, 8, 1, 0, 4, 5, 6, 7, 3, 4, 10, 1, 7, 13, 4, 5, 6, 2, 3, 4, 5, 2, 3, 4, 5, 6, 7, 3, 9, 15, 6, 2, 8, 14, 5, 1, 8, 4, 10, 6, 7, 13, 14, 15, 11, 12, 8, 4, 5, 1, 2, 9, 5, 1, 7, 8, 4, 5, 6, 12, 8, 14, 5, 1, 2, 3, 5, 1, 2, 8, 4, 10, 1, 2, 8, 9, 5, 1, 2, 8, 9, 11, 2, 3, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 1, 12, 3, 4, 5, 1, 2, 13, 9, 15, 6, 3, 9, 15, 6, 2, 13, 4, 10, 6, 7, 8, 14, 10, 1, 7, 14, 10, 6, 7, 8, 9, 15, 1, 2, 3, 4, 5, 6, 2, 8, 10, 1, 2, 3, 4, 10, 6, 2, 3, 14, 15, 11, 2, 8, 4, 1, 2, 3, 4, 5, 6, 7, 3, 14, 15, 6, 2, 13, 9, 15, 12, 8, 4, 15, 1, 12, 8, 4, 5, 6, 2, 8, 9, 10, 6, 3, 4, 15, 11, 12, 3, 14, 5, 1, 7, 13, 4, 10, 1, 7, 14, 15, 1, 2, 8, 14, 5, 11, 12, 3, 4, 15, 6, 7, 3, 10, 11, 7, 3, 9, 5, 11, 7, 8, 4, 5, 11, 7, 3, 14]"
855.8852842852815,329084.12487367744,-86.15161583694076,"[2, 13, 7, 11, 6, 14, 8, 10, 12, 3, 9, 1, 0, 4, 5, 6, 7, 3, 4, 10, 1, 2, 13, 4, 5, 6, 7, 3, 4, 5, 2, 8, 4, 5, 6, 7, 3, 9, 15, 6, 2, 8, 14, 15, 1, 8, 14, 10, 6, 12, 13, 14, 15, 1, 12, 8, 4, 5, 1, 2, 9, 5, 1, 7, 13, 4, 5, 6, 12, 8, 14, 5, 1, 2, 3, 5, 1, 2, 8, 4, 10, 1, 2, 8, 14, 5, 1, 12, 8, 9, 11, 2, 3, 14, 5, 1, 2, 8, 4, 15, 1, 2, 3, 9, 5, 2, 3, 4, 5, 1, 12, 13, 4, 5, 1, 2, 13, 14, 15, 6, 3, 9, 15, 6, 2, 13, 4, 15, 6, 2, 8, 14, 10, 1, 12, 14, 10, 6, 7, 8, 9, 15, 1, 2, 13, 14, 5, 6, 2, 13, 10, 1, 2, 8, 4, 10, 1, 2, 3, 14, 5, 11, 2, 8, 4, 1, 2, 3, 4, 5, 6, 7, 8, 14, 15, 6, 2, 13, 9, 15, 12, 8, 4, 15, 1, 12, 8, 4, 5, 11, 2, 8, 9, 10, 6, 3, 4, 15, 6, 12, 3, 14, 5, 1, 7, 3, 4, 15, 1, 7, 9, 5, 1, 2, 8, 14, 5, 11, 12, 13, 4, 15, 6, 7, 8, 10, 11, 7, 8, 9, 5, 6, 7, 8, 4, 5, 1, 7, 3, 9]"
