Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,911.183985583983,379908.83868530113,-151.51215566378067,Exploit,-0.756444517225433,High,Fast,Flat,128205298318.27916
1,898.4549091049064,368166.9679726097,-141.48274673520925,Balanced,17.87984546181604,High,Stagnant,Rise,147534680727.52728
2,898.4549091049064,368166.9679726097,-141.48274673520925,Balanced,-0.8944098253066527,High,Slow,Rise,163112893438.8741
3,898.4549091049064,368166.9679726097,-141.48274673520925,Explore,-0.8994265682544509,High,Stagnant,Rise,179517716893.96774
4,898.4549091049064,368166.9679726097,-141.48274673520925,Balanced,-0.9616886902675911,High,Stagnant,Rise,186395275748.34744
5,894.4168499418474,364402.4164984504,-156.46222074675322,Balanced,9.049772126459642,High,Stagnant,Rise,188578516791.24768
6,881.8113304613278,352895.56350198557,-136.159298531746,Explore,17.64114955260681,High,Slow,Rise,195297582938.60754
7,881.8113304613278,352895.56350198557,-136.159298531746,Explore,-0.9947957675133539,High,Slow,Rise,196313956964.3001
8,881.8113304613278,352895.56350198557,-136.159298531746,Balanced,-0.9790288300045878,High,Stagnant,Rise,200430890328.27048
9,881.8113304613278,352895.56350198557,-136.159298531746,Balanced,-0.9561296713847467,High,Stagnant,Rise,209223859351.6195
10,877.1657676907653,348607.1859418776,-126.18421507936505,Balanced,9.669735786007541,High,Stagnant,Rise,214281430935.199
11,877.1657676907653,348607.1859418776,-126.18421507936505,Balanced,-0.9192947124030996,High,Slow,Rise,231575075445.4996
12,876.983949508947,348434.1148470436,-121.15700762987011,Balanced,5.242538103325931,High,Stagnant,Rise,245636295849.687
13,874.1791154541124,345903.9917811773,-111.16511645382391,Balanced,7.855179143976555,High,Stagnant,Rise,258002877060.73904
14,874.1791154541124,345903.9917811773,-111.16511645382391,Exploit,-0.9553326912405603,High,Slow,Rise,269527171231.23483
15,874.1791154541124,345903.9917811773,-111.16511645382391,Balanced,-0.9001674092177891,High,Stagnant,Rise,296434767021.4496
16,870.8457821207792,342822.3538552357,-111.19226006854254,Balanced,8.381949773939045,High,Stagnant,Rise,310846370265.83826
17,870.8457821207792,342822.3538552357,-111.19226006854254,Explore,-0.9932621975493973,High,Slow,Rise,312940791701.1764
18,865.9265902015875,338257.0476164878,-126.21190866161609,Balanced,9.93226183858695,High,Stagnant,Rise,317030902624.19965
19,865.9265902015875,338257.0476164878,-126.21190866161609,Explore,-0.9957491283201344,High,Slow,Rise,318378560309.80707
20,865.9265902015875,338253.4514329886,-121.17730528860027,Balanced,-0.9726344519847755,High,Stagnant,Rise,327091164088.98315
21,865.9265902015875,338253.4514329886,-121.17730528860027,Balanced,-0.9928902088085473,High,Stagnant,Rise,329416713966.22504
22,860.320529595527,333036.9945153912,-131.1177467821068,Exploit,10.606182273830193,High,Stagnant,Rise,329456793363.10944
23,860.320529595527,333036.9945153912,-131.1177467821068,Explore,-1.0052246098676836,High,Slow,Rise,327735510149.5291
24,860.320529595527,333036.9945153912,-131.1177467821068,Balanced,-0.9951266803347908,High,Stagnant,Flat,329332670056.1282
25,853.6538629288602,326955.1124455245,-136.1148185642136,Balanced,11.667257989630912,High,Stagnant,Rise,329527412026.78357
26,853.6538629288602,326955.1124455245,-136.1148185642136,Explore,-0.9951566237954379,High,Slow,Rise,331123437252.945
27,853.6538629288602,326955.1124455245,-136.1148185642136,Exploit,-1.003324468279229,High,Stagnant,Rise,330022627889.2883
28,853.6538629288602,326955.1124455245,-136.1148185642136,Balanced,-0.9848437392910859,High,Stagnant,Flat,335024536877.4193
29,853.6538629288602,326909.7537089733,-126.22704770202019,Balanced,-0.9928371512624968,High,Stagnant,Rise,337424266958.4243
30,853.6538629288602,326909.7537089733,-126.22704770202019,Balanced,-1.0030445801618657,High,Stagnant,Rise,336396951729.1106
31,853.3914170414142,326679.19710237515,-136.12244810966814,Exploit,5.260647459191461,High,Stagnant,Flat,335791965946.37823
32,853.3914170414142,326680.777479518,-136.0943528715729,Exploit,-0.993843834345266,High,Stagnant,Flat,337859156914.27295
33,850.1298730298702,323658.954140088,-136.15525041125542,Balanced,8.268739145313916,High,Stagnant,Rise,340290098743.6418
34,850.1298730298702,323658.954140088,-136.15525041125542,Explore,-1.0000000000000002,High,Slow,Rise,340290098743.6417
35,843.65386292886,317754.16495952156,-131.03250570346322,Exploit,11.48417775045399,High,Stagnant,Flat,343069468979.38586
36,843.65386292886,317754.16495952156,-131.03250570346322,Explore,-1.0030306287694,High,Slow,Rise,342029752776.7942
37,843.65386292886,317754.16495952156,-131.03250570346322,Exploit,-0.9961331438984516,High,Stagnant,Flat,343352332613.2302
38,843.65386292886,317754.16495952156,-131.03250570346322,Balanced,-0.9980247591802996,High,Stagnant,Rise,344030536156.1472
39,841.4992813992785,315698.9298819386,-126.14498755772007,Balanced,7.172332580356147,High,Stagnant,Rise,350137439671.4869
40,841.4992813992785,315698.9298819386,-126.14498755772007,Explore,-0.9940214431777982,High,Slow,Rise,352230756250.1431
41,841.4992813992785,315698.9298819386,-126.14498755772007,Balanced,-0.9873940399816452,High,Stagnant,Rise,356670963080.6673
42,841.4992813992785,315698.9298819386,-126.14498755772007,Balanced,-1.0061251640236821,High,Stagnant,Rise,354486294929.31354
43,841.4992813992785,315698.9298819386,-126.14498755772007,Exploit,-1.0006861042869764,High,Stagnant,Flat,354243080362.6882
44,841.4992813992785,315698.9298819386,-126.14498755772007,Exploit,-0.9890169402509331,High,Stagnant,Flat,358133753280.00507
