Generation,Best_Makespan,Best_Energy,Best_Reliability,Hypervolume
0,1762.4740288740263,1166364.0037832267,-215.27010635281397,2214249350665.041
1,1735.9228023227993,1141912.4765273244,-235.33481497835513,2667015644095.748
2,1639.060969710967,1052628.9648263904,-230.22896122294384,3499415582582.6006
3,1639.060969710967,1052628.9648263904,-230.22896122294384,3850232983487.5063
4,1639.060969710967,1052628.9648263904,-230.22896122294384,3932088213437.1226
5,1639.060969710967,1052628.9648263904,-230.22896122294384,4101175701424.242
6,1636.2193391193364,1050120.769534868,-225.13707540043302,4302592337653.8354
7,1636.2193391193364,1050120.769534868,-225.13707540043302,4436314835594.379
8,1636.2193391193364,1050120.769534868,-225.13707540043302,4575373603549.254
9,1636.2193391193364,1050120.769534868,-225.13707540043302,4735072128438.786
10,1636.2193391193364,1050120.769534868,-225.13707540043302,4790257964341.899
11,1636.2193391193364,1050120.769534868,-225.13707540043302,4828791897139.889
12,1631.003971153968,1045316.341323843,-220.04944503968264,4874047992344.48
13,1625.930558455556,1040780.5191617621,-229.92101298340555,4965099799549.712
14,1625.930558455556,1040650.2100591215,-225.00573980158748,5011496098484.01
15,1625.930558455556,1040641.9802339916,-220.12459237734507,5088581171871.211
16,1625.930558455556,1040641.9802339916,-220.12459237734507,5123476388822.371
17,1621.3517345017317,1036342.5724018737,-230.01234904761915,5093635090509.252
18,1615.930558455556,1031419.5955567657,-215.07705734126995,5155889333042.054
19,1615.930558455556,1031419.5955567657,-215.07705734126995,5176934745857.28
20,1615.930558455556,1031419.5955567657,-215.07705734126995,5242714900126.85
21,1614.4402987152962,1030096.4745591864,-225.05264028860034,5287015973906.261
22,1614.4402987152962,1030096.4745591864,-225.05264028860034,5264596716275.794
23,1605.930558455556,1022405.2406095183,-205.0270566450217,5324151785182.704
24,1600.238098138095,1016798.5547331611,-214.5138697402597,5346374946531.2705
25,1600.238098138095,1016798.5547331611,-214.5138697402597,5351752611276.125
26,1600.238098138095,1016798.5547331611,-214.5138697402597,5388697322316.366
27,1600.238098138095,1016798.5547331611,-214.5138697402597,5458072273497.296
28,1587.9563521063494,1005747.684780824,-249.97111900072153,5485447962670.401
29,1587.9563521063494,1005747.684780824,-249.97111900072153,5492954294532.186
30,1587.9563521063494,1005747.684780824,-249.97111900072153,5518471419505.455
31,1587.9563521063494,1005747.684780824,-249.97111900072153,5510404561985.724
32,1578.6024560024534,997202.3678318413,-199.28303318903312,5627654244430.258
33,1564.308805208802,984010.117675571,-189.35980772366517,5786237725612.551
34,1564.308805208802,984010.117675571,-189.35980772366517,5863510010587.593
35,1564.308805208802,984010.117675571,-189.35980772366517,6010750153138.835
36,1564.308805208802,984010.117675571,-189.35980772366517,6081949312300.114
37,1561.0416695666668,981079.1147015778,-194.29198944083694,6166949104629.76
38,1541.6069653819625,963227.8451316138,-169.2877544624819,6345614926421.618
39,1541.6069653819625,963227.8451316138,-169.2877544624819,6386928085909.157
40,1529.169916319913,951732.7553821871,-193.94859885281383,6552418083171.506
41,1529.169916319913,951732.7553821871,-193.94859885281383,6734291822211.141
42,1529.169916319913,951732.7553821871,-193.94859885281383,6887644595018.172
43,1529.169916319913,951732.7553821871,-193.94859885281383,6966436311500.3955
44,1516.5892886142851,940155.7884191785,-174.0931185714285,7099718856171.64
45,1516.5892886142851,940155.7884191785,-174.0931185714285,7297957129774.932
46,1516.5892886142851,940155.7884191785,-174.0931185714285,7446266241415.215
47,1516.5892886142851,940155.7884191785,-174.0931185714285,7464474215057.959
48,1516.5892886142851,940155.7884191785,-174.0931185714285,7556010249618.741
49,1507.5032496532463,931813.0467166712,-174.08464163059156,7653280491248.518
