Makespan,Energy,Reliability,Schedule
1527.958336233333,950634.9373337781,-174.01227958874458,"[5, 13, 2, 12, 6, 1, 14, 9, 10, 8, 3, 11, 4, 7, 0, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 12, 8, 9, 5, 7, 13, 9, 10, 6, 2, 13, 4, 5, 1, 2, 13, 14, 15, 1, 3, 4, 5, 1, 2, 3, 4, 10, 1, 7, 3, 9, 5, 1, 12, 9, 10, 1, 7, 3, 4, 15, 6, 2, 3, 9, 10, 1, 7, 8, 5, 1, 7, 13, 4, 10, 6, 12, 3, 4, 5, 6, 7, 8, 4, 1, 2, 3, 4, 15, 1, 7, 13, 9, 15, 6, 2, 8, 9, 10, 2, 3, 4, 15, 1, 7, 3, 4, 15, 6, 2, 8, 4, 10, 6, 8, 14, 5, 6, 2, 8, 14, 15, 1, 7, 8, 4, 5, 6, 2, 9, 5, 1, 12, 3, 4, 5, 1, 7, 8, 9, 15, 1, 7, 3, 15, 1, 12, 13, 4, 15, 1, 7, 13, 9, 5, 1, 7, 13, 4, 11, 7, 13, 4, 5, 6, 7, 8, 14, 10, 6, 2, 8, 9, 5, 12, 8, 9, 5, 6, 7, 8, 4, 15, 6, 12, 13, 9, 5, 1, 13, 9, 10, 6, 7, 13, 4, 15, 11, 2, 13, 4, 10, 6, 7, 9, 5, 11, 2, 13, 9, 10, 6, 2, 8, 9, 5, 1, 2, 13, 10, 6, 2, 3, 4, 15, 11, 7, 3, 4, 5, 6, 12, 3, 4]"
1540.7817489317458,962504.8242185798,-168.8363011760462,"[5, 13, 2, 12, 6, 1, 14, 10, 9, 0, 3, 11, 4, 7, 8, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 12, 8, 9, 5, 7, 13, 9, 10, 6, 2, 13, 4, 5, 1, 2, 13, 14, 15, 1, 3, 4, 5, 1, 2, 3, 4, 10, 6, 7, 3, 9, 5, 1, 12, 9, 10, 1, 7, 3, 4, 15, 6, 2, 3, 9, 5, 1, 7, 8, 5, 1, 7, 13, 4, 10, 6, 12, 3, 4, 5, 6, 7, 8, 4, 1, 2, 3, 4, 15, 1, 7, 13, 9, 15, 6, 2, 8, 9, 10, 2, 3, 4, 15, 1, 7, 3, 4, 15, 6, 2, 8, 4, 10, 11, 8, 14, 5, 6, 2, 3, 14, 15, 1, 7, 8, 4, 5, 6, 2, 9, 5, 6, 12, 3, 4, 5, 1, 7, 8, 9, 15, 1, 7, 3, 15, 1, 12, 13, 4, 15, 1, 7, 13, 9, 5, 1, 7, 13, 9, 11, 7, 13, 4, 5, 6, 7, 8, 14, 10, 6, 2, 8, 9, 5, 12, 8, 9, 5, 6, 7, 8, 14, 10, 6, 12, 13, 4, 5, 1, 13, 9, 10, 6, 7, 3, 4, 15, 1, 2, 13, 4, 10, 6, 7, 9, 5, 11, 2, 13, 9, 10, 6, 2, 8, 9, 5, 1, 2, 13, 10, 6, 2, 3, 4, 15, 11, 7, 3, 4, 5, 6, 12, 3, 4]"
1481.8145772145742,908156.0832597523,-213.80208719336204,"[0, 1, 5, 6, 13, 2, 12, 9, 3, 4, 7, 11, 10, 8, 14, 6, 2, 8, 4, 15, 6, 2, 3, 9, 10, 1, 2, 8, 9, 5, 7, 13, 9, 5, 1, 7, 13, 9, 5, 1, 12, 13, 14, 10, 1, 3, 4, 5, 1, 2, 3, 4, 5, 6, 7, 13, 9, 15, 1, 12, 14, 10, 1, 7, 3, 4, 15, 1, 7, 3, 9, 10, 1, 7, 8, 5, 11, 7, 13, 4, 10, 1, 2, 8, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 15, 1, 7, 3, 9, 10, 6, 2, 3, 9, 15, 2, 3, 4, 5, 6, 2, 3, 14, 15, 6, 2, 3, 4, 10, 11, 8, 14, 5, 6, 2, 8, 14, 15, 1, 7, 8, 9, 5, 6, 2, 4, 5, 1, 2, 3, 4, 5, 1, 7, 8, 4, 15, 1, 7, 3, 10, 11, 12, 8, 4, 15, 11, 7, 13, 9, 10, 1, 7, 3, 14, 11, 7, 13, 4, 5, 6, 7, 8, 14, 10, 6, 2, 8, 4, 5, 12, 8, 9, 5, 11, 7, 8, 4, 15, 6, 2, 13, 4, 5, 6, 13, 9, 10, 6, 7, 3, 4, 10, 11, 7, 13, 4, 10, 6, 7, 9, 5, 11, 2, 13, 9, 5, 11, 2, 8, 9, 5, 1, 2, 3, 10, 6, 2, 3, 4, 15, 1, 12, 8, 4, 5, 1, 12, 13, 4]"
1564.8833001582968,984605.1788440377,-168.51721896825393,"[2, 6, 1, 14, 5, 12, 13, 9, 10, 8, 3, 11, 4, 7, 0, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 12, 8, 9, 5, 7, 13, 9, 5, 1, 2, 13, 4, 5, 1, 2, 13, 9, 5, 1, 3, 4, 5, 1, 2, 3, 4, 5, 1, 7, 3, 9, 5, 1, 12, 9, 10, 1, 7, 3, 4, 15, 6, 2, 3, 9, 5, 6, 7, 8, 5, 1, 7, 13, 4, 10, 6, 12, 8, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 15, 1, 7, 13, 9, 15, 6, 2, 8, 9, 10, 2, 3, 4, 5, 6, 7, 3, 4, 15, 6, 2, 8, 4, 10, 6, 8, 14, 5, 6, 2, 8, 14, 15, 1, 7, 8, 4, 5, 6, 2, 9, 5, 1, 12, 3, 4, 5, 1, 7, 8, 9, 15, 1, 2, 3, 10, 1, 12, 13, 4, 15, 11, 7, 13, 9, 10, 1, 7, 13, 4, 11, 7, 13, 4, 5, 6, 7, 8, 9, 10, 11, 2, 8, 9, 5, 12, 8, 9, 5, 6, 7, 8, 4, 10, 6, 12, 13, 9, 10, 6, 13, 9, 10, 6, 7, 13, 4, 10, 6, 7, 13, 4, 10, 6, 7, 9, 5, 11, 2, 13, 9, 10, 6, 2, 8, 9, 5, 1, 2, 13, 10, 6, 2, 3, 4, 15, 6, 7, 3, 4, 5, 6, 12, 3, 4]"
1674.1987763487734,1085511.920455366,-159.10004654761906,"[12, 6, 1, 14, 10, 11, 13, 2, 8, 9, 3, 7, 4, 0, 5, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 12, 8, 9, 5, 7, 13, 9, 10, 1, 7, 13, 4, 5, 1, 2, 13, 14, 15, 1, 3, 4, 5, 1, 2, 3, 4, 10, 1, 7, 13, 9, 5, 1, 12, 4, 10, 1, 7, 3, 14, 15, 6, 2, 3, 9, 10, 1, 7, 8, 5, 1, 7, 13, 14, 10, 6, 12, 3, 4, 5, 6, 7, 8, 4, 1, 2, 8, 4, 15, 1, 7, 13, 9, 10, 6, 2, 8, 9, 10, 2, 3, 4, 15, 1, 2, 3, 4, 15, 6, 2, 8, 4, 15, 6, 8, 14, 5, 6, 2, 8, 14, 15, 1, 7, 8, 4, 5, 6, 2, 9, 5, 1, 12, 3, 4, 5, 1, 7, 8, 9, 15, 1, 7, 3, 15, 1, 12, 8, 4, 15, 1, 7, 13, 9, 5, 1, 7, 13, 4, 11, 7, 13, 4, 5, 6, 7, 8, 14, 10, 6, 2, 8, 9, 5, 12, 13, 9, 5, 6, 7, 13, 4, 15, 6, 12, 13, 9, 5, 1, 13, 4, 15, 6, 7, 13, 4, 10, 11, 12, 13, 4, 10, 6, 7, 9, 5, 11, 2, 13, 9, 10, 6, 2, 3, 9, 5, 1, 2, 13, 10, 6, 2, 3, 4, 15, 6, 7, 3, 9, 5, 6, 12, 3, 4]"
1668.5815324815298,1080068.1607338001,-159.22900526334777,"[5, 13, 2, 12, 6, 1, 14, 9, 10, 8, 4, 11, 3, 7, 0, 6, 2, 8, 4, 10, 1, 2, 8, 9, 10, 1, 12, 8, 9, 5, 7, 13, 9, 10, 6, 2, 13, 4, 5, 1, 2, 13, 4, 15, 1, 3, 4, 5, 1, 2, 3, 4, 10, 1, 7, 3, 9, 5, 1, 12, 9, 10, 1, 7, 8, 4, 15, 6, 2, 3, 9, 10, 1, 7, 3, 5, 6, 7, 13, 4, 10, 6, 12, 8, 4, 5, 6, 7, 8, 4, 1, 2, 3, 4, 15, 1, 7, 13, 9, 10, 6, 2, 8, 9, 10, 2, 13, 4, 15, 1, 2, 3, 4, 15, 6, 2, 13, 4, 10, 6, 8, 14, 5, 6, 2, 8, 14, 15, 1, 7, 8, 4, 5, 6, 2, 9, 5, 6, 7, 3, 4, 5, 6, 7, 8, 9, 15, 1, 7, 3, 15, 1, 7, 13, 4, 10, 1, 7, 13, 9, 5, 1, 7, 13, 14, 11, 7, 13, 4, 5, 6, 7, 8, 14, 10, 6, 2, 8, 9, 5, 12, 8, 9, 5, 6, 7, 8, 4, 15, 6, 12, 13, 9, 5, 1, 13, 9, 10, 6, 7, 13, 4, 10, 11, 2, 13, 4, 10, 6, 7, 9, 5, 11, 12, 13, 9, 5, 6, 2, 8, 9, 5, 1, 2, 13, 10, 6, 2, 3, 14, 15, 11, 7, 3, 4, 5, 6, 12, 3, 4]"
1491.993509393506,917428.9467692468,-183.6483086002886,"[5, 13, 2, 12, 6, 1, 14, 9, 10, 8, 4, 11, 3, 7, 0, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 7, 8, 9, 5, 7, 13, 9, 5, 1, 7, 13, 4, 5, 1, 2, 13, 4, 15, 1, 3, 4, 5, 1, 2, 3, 4, 10, 6, 7, 3, 9, 5, 1, 12, 4, 10, 1, 7, 3, 4, 15, 6, 2, 8, 9, 5, 1, 7, 3, 5, 6, 7, 13, 9, 10, 6, 2, 8, 4, 5, 1, 2, 8, 4, 1, 7, 3, 4, 15, 1, 7, 13, 9, 10, 6, 2, 3, 9, 10, 2, 3, 4, 5, 11, 2, 3, 4, 15, 6, 2, 8, 4, 5, 11, 8, 14, 5, 6, 2, 8, 14, 15, 1, 2, 8, 4, 5, 6, 2, 4, 5, 6, 7, 3, 4, 5, 6, 7, 8, 4, 15, 1, 7, 3, 15, 1, 7, 13, 9, 10, 1, 7, 13, 9, 5, 1, 7, 3, 14, 11, 7, 13, 4, 10, 6, 7, 8, 14, 10, 1, 7, 8, 4, 5, 12, 8, 4, 5, 1, 7, 3, 4, 15, 6, 12, 3, 4, 5, 6, 13, 4, 10, 11, 7, 13, 4, 10, 11, 12, 13, 4, 10, 6, 7, 9, 5, 11, 7, 13, 9, 5, 6, 2, 8, 9, 5, 1, 2, 13, 10, 6, 2, 13, 4, 15, 6, 7, 3, 4, 5, 6, 12, 3, 9]"
1531.0815324815294,953451.4156292292,-179.0430144336219,"[5, 13, 2, 12, 6, 1, 14, 10, 9, 8, 3, 11, 4, 7, 0, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 12, 8, 9, 5, 7, 13, 9, 10, 6, 2, 13, 4, 5, 1, 2, 13, 14, 15, 1, 3, 4, 5, 1, 2, 3, 4, 10, 6, 7, 3, 9, 5, 1, 12, 9, 10, 1, 7, 3, 4, 15, 6, 2, 3, 9, 10, 1, 7, 8, 5, 1, 7, 13, 4, 10, 6, 12, 3, 4, 5, 6, 7, 8, 4, 1, 2, 3, 4, 15, 1, 7, 13, 9, 15, 6, 2, 8, 9, 10, 2, 3, 4, 15, 1, 7, 3, 4, 15, 6, 2, 8, 4, 10, 11, 8, 14, 5, 6, 2, 8, 14, 15, 1, 7, 8, 4, 5, 6, 2, 9, 5, 6, 12, 3, 4, 5, 1, 7, 8, 9, 15, 1, 7, 3, 15, 1, 12, 13, 4, 15, 1, 7, 13, 9, 5, 1, 7, 13, 14, 11, 7, 13, 4, 5, 6, 7, 8, 14, 10, 6, 2, 8, 9, 5, 12, 8, 9, 5, 6, 7, 8, 4, 15, 6, 12, 13, 9, 5, 1, 13, 9, 10, 6, 7, 3, 4, 15, 11, 2, 13, 4, 10, 6, 7, 9, 5, 11, 2, 13, 9, 10, 6, 2, 8, 9, 5, 1, 2, 13, 10, 6, 2, 3, 4, 15, 11, 7, 3, 4, 5, 6, 12, 3, 4]"
1531.0815324815294,953366.2505130675,-179.09773665584416,"[5, 13, 2, 12, 6, 1, 14, 10, 9, 8, 3, 11, 4, 7, 0, 6, 7, 8, 4, 5, 1, 2, 8, 9, 10, 1, 2, 8, 9, 5, 12, 13, 9, 10, 6, 2, 13, 4, 5, 1, 2, 13, 14, 15, 1, 3, 4, 5, 1, 2, 3, 4, 10, 6, 7, 3, 9, 5, 1, 12, 9, 10, 1, 7, 3, 4, 15, 6, 2, 3, 9, 10, 1, 7, 8, 5, 1, 7, 13, 4, 10, 6, 12, 3, 4, 5, 6, 7, 8, 4, 1, 2, 3, 4, 15, 1, 7, 13, 9, 15, 6, 2, 8, 9, 10, 2, 3, 4, 15, 1, 7, 3, 4, 15, 6, 2, 8, 4, 10, 11, 8, 14, 5, 6, 7, 8, 14, 15, 1, 7, 8, 4, 5, 6, 2, 9, 5, 6, 12, 3, 4, 5, 1, 7, 8, 9, 15, 1, 7, 3, 15, 1, 12, 13, 4, 15, 1, 7, 13, 9, 5, 1, 7, 13, 14, 11, 7, 13, 4, 5, 6, 7, 8, 14, 10, 6, 2, 8, 9, 5, 12, 8, 9, 5, 6, 7, 8, 4, 15, 6, 12, 13, 9, 5, 1, 13, 9, 10, 6, 7, 3, 4, 15, 11, 2, 13, 4, 10, 6, 7, 9, 5, 11, 2, 13, 9, 10, 6, 2, 8, 9, 5, 1, 2, 13, 10, 6, 2, 3, 4, 15, 11, 7, 3, 4, 5, 6, 12, 3, 4]"
1548.8048369548335,969820.7507069777,-169.00518251082255,"[10, 0, 8, 5, 6, 2, 13, 1, 12, 9, 3, 4, 7, 14, 11, 6, 7, 8, 4, 5, 1, 2, 8, 9, 10, 1, 12, 8, 4, 5, 7, 8, 9, 10, 6, 2, 13, 4, 5, 1, 2, 13, 4, 15, 1, 3, 4, 5, 1, 2, 3, 4, 10, 6, 7, 13, 9, 5, 1, 12, 9, 10, 1, 7, 3, 4, 15, 1, 2, 3, 9, 10, 1, 12, 8, 5, 1, 7, 13, 4, 5, 1, 12, 8, 4, 5, 6, 7, 8, 4, 1, 2, 3, 4, 15, 1, 7, 8, 9, 15, 6, 2, 3, 9, 10, 2, 3, 4, 15, 1, 7, 8, 4, 15, 6, 2, 8, 4, 10, 11, 8, 14, 5, 6, 7, 8, 14, 15, 1, 7, 8, 9, 5, 6, 2, 9, 5, 6, 12, 3, 4, 5, 1, 7, 13, 4, 15, 1, 7, 8, 10, 1, 12, 13, 4, 15, 1, 7, 13, 9, 10, 1, 7, 13, 14, 11, 7, 13, 4, 5, 6, 7, 3, 14, 10, 6, 2, 8, 9, 5, 12, 8, 9, 5, 6, 7, 8, 4, 15, 11, 12, 13, 9, 5, 1, 13, 9, 10, 6, 7, 3, 9, 10, 11, 2, 13, 4, 10, 6, 7, 9, 5, 6, 2, 13, 9, 10, 6, 2, 8, 9, 5, 1, 2, 13, 10, 6, 2, 3, 4, 15, 11, 7, 8, 4, 5, 6, 12, 13, 4]"
