Makespan,Energy,Reliability,Schedule
1701.2738124238097,1110475.4466465237,-169.65907547979793,"[13, 5, 14, 10, 6, 12, 8, 4, 0, 7, 11, 2, 9, 1, 3, 1, 12, 13, 4, 10, 1, 2, 13, 14, 10, 6, 2, 3, 14, 5, 7, 8, 4, 10, 1, 7, 13, 9, 15, 11, 2, 8, 14, 5, 11, 3, 9, 5, 1, 2, 8, 4, 5, 1, 2, 8, 4, 10, 11, 2, 14, 10, 1, 7, 8, 9, 5, 1, 2, 13, 4, 5, 1, 2, 13, 10, 1, 7, 8, 9, 5, 1, 2, 13, 4, 10, 1, 2, 3, 4, 1, 7, 8, 14, 5, 1, 12, 13, 9, 10, 6, 7, 3, 14, 5, 7, 8, 4, 5, 1, 2, 8, 9, 10, 1, 7, 3, 9, 5, 11, 8, 4, 5, 6, 7, 13, 14, 5, 1, 2, 8, 14, 15, 6, 7, 14, 5, 6, 2, 8, 9, 10, 1, 2, 8, 4, 15, 1, 7, 3, 15, 1, 12, 13, 9, 15, 6, 7, 8, 9, 5, 6, 7, 3, 9, 6, 7, 8, 9, 5, 6, 12, 3, 14, 5, 6, 7, 13, 4, 15, 7, 3, 4, 5, 6, 12, 8, 4, 10, 6, 7, 13, 9, 5, 11, 13, 4, 15, 11, 12, 8, 4, 10, 11, 2, 13, 14, 15, 6, 2, 9, 15, 6, 2, 8, 14, 10, 1, 2, 3, 9, 5, 11, 7, 8, 10, 1, 2, 8, 9, 15, 1, 7, 8, 14, 15, 1, 12, 8, 14]"
1554.7766984266952,975679.6962477139,-183.7428895670995,"[14, 12, 13, 5, 6, 7, 8, 4, 0, 1, 11, 10, 3, 9, 2, 1, 12, 13, 4, 10, 1, 2, 8, 14, 10, 1, 7, 3, 14, 5, 7, 8, 4, 10, 1, 7, 13, 9, 10, 11, 2, 8, 9, 5, 11, 3, 9, 5, 1, 2, 8, 4, 5, 1, 2, 8, 4, 10, 11, 2, 14, 10, 1, 7, 8, 9, 5, 1, 2, 3, 4, 5, 1, 2, 13, 10, 1, 7, 3, 14, 15, 6, 2, 13, 4, 10, 1, 2, 3, 9, 1, 7, 8, 4, 15, 1, 12, 8, 4, 5, 6, 2, 3, 4, 5, 7, 8, 9, 5, 1, 2, 8, 4, 10, 1, 2, 3, 9, 10, 6, 13, 4, 5, 6, 7, 13, 14, 10, 1, 2, 8, 9, 15, 6, 2, 9, 5, 6, 12, 8, 4, 10, 6, 2, 8, 4, 5, 1, 7, 3, 5, 1, 12, 8, 4, 15, 6, 2, 8, 14, 5, 6, 7, 13, 9, 6, 7, 3, 4, 5, 6, 7, 3, 4, 5, 6, 7, 13, 4, 5, 7, 13, 4, 5, 11, 12, 8, 4, 10, 1, 7, 13, 9, 5, 11, 3, 4, 15, 11, 7, 8, 4, 10, 6, 7, 13, 14, 10, 11, 2, 9, 5, 1, 12, 8, 14, 10, 1, 2, 3, 9, 10, 11, 2, 3, 15, 1, 2, 8, 9, 15, 1, 7, 8, 14, 5, 6, 12, 8, 14]"
1530.02417317417,952748.4780307659,-184.0263213383837,"[14, 13, 5, 12, 6, 7, 8, 4, 0, 1, 11, 10, 2, 9, 3, 1, 12, 13, 4, 10, 1, 2, 8, 14, 10, 1, 2, 3, 14, 5, 7, 8, 4, 10, 1, 7, 13, 9, 5, 6, 2, 8, 4, 10, 11, 8, 9, 5, 1, 2, 8, 4, 5, 1, 12, 8, 4, 10, 1, 2, 14, 15, 1, 7, 8, 9, 5, 1, 2, 3, 4, 5, 1, 2, 13, 10, 1, 7, 8, 14, 15, 6, 2, 13, 4, 10, 1, 7, 3, 4, 1, 7, 8, 14, 15, 1, 12, 8, 9, 5, 1, 2, 3, 4, 5, 7, 8, 9, 5, 6, 12, 8, 4, 10, 1, 2, 3, 9, 5, 11, 13, 4, 5, 6, 7, 13, 14, 10, 1, 2, 8, 9, 15, 6, 2, 4, 10, 6, 2, 8, 4, 15, 6, 2, 8, 4, 5, 1, 7, 3, 5, 1, 12, 13, 9, 15, 6, 2, 8, 14, 5, 6, 7, 3, 9, 6, 7, 3, 4, 5, 6, 7, 3, 4, 5, 6, 7, 13, 4, 15, 7, 8, 4, 5, 11, 7, 8, 4, 10, 11, 7, 13, 9, 5, 11, 3, 4, 15, 11, 12, 8, 4, 5, 11, 12, 13, 14, 10, 11, 2, 9, 5, 1, 12, 8, 14, 10, 11, 2, 13, 9, 10, 11, 2, 3, 15, 1, 2, 8, 9, 15, 1, 2, 8, 14, 5, 6, 12, 8, 4]"
1514.3991731741698,938532.3565353438,-204.15679516955262,"[14, 13, 5, 12, 6, 7, 8, 4, 0, 1, 11, 10, 2, 9, 3, 1, 12, 13, 4, 10, 1, 2, 3, 14, 10, 1, 2, 3, 14, 5, 7, 8, 4, 10, 1, 7, 13, 9, 5, 11, 2, 8, 4, 10, 11, 3, 9, 5, 1, 2, 8, 4, 5, 1, 2, 8, 14, 5, 1, 2, 14, 15, 1, 7, 8, 9, 5, 1, 2, 3, 4, 5, 1, 2, 13, 10, 1, 7, 8, 14, 15, 6, 2, 8, 4, 10, 1, 2, 3, 4, 1, 7, 8, 4, 15, 1, 12, 8, 9, 5, 1, 2, 3, 4, 5, 2, 3, 9, 5, 6, 12, 8, 4, 10, 1, 2, 3, 9, 5, 11, 13, 4, 5, 6, 7, 13, 14, 10, 1, 2, 8, 9, 15, 6, 2, 9, 10, 6, 12, 8, 4, 15, 6, 2, 8, 4, 5, 1, 7, 3, 5, 1, 12, 8, 9, 15, 6, 2, 8, 14, 5, 6, 7, 3, 9, 6, 7, 3, 4, 5, 6, 7, 3, 9, 5, 6, 2, 13, 4, 15, 7, 8, 4, 5, 11, 12, 8, 9, 10, 1, 12, 13, 9, 5, 11, 3, 4, 15, 11, 12, 8, 4, 10, 11, 12, 13, 14, 10, 11, 2, 9, 5, 1, 12, 8, 14, 10, 11, 2, 13, 9, 10, 11, 2, 3, 15, 1, 2, 8, 9, 15, 1, 2, 8, 14, 5, 6, 12, 8, 4]"
1557.5090216590186,977999.4791472305,-173.95327975468967,"[14, 13, 12, 5, 1, 7, 8, 4, 0, 6, 11, 10, 2, 9, 3, 1, 12, 13, 4, 10, 1, 2, 8, 14, 10, 1, 7, 3, 14, 5, 7, 8, 9, 10, 1, 7, 13, 9, 5, 6, 2, 8, 4, 5, 11, 8, 9, 5, 1, 2, 8, 4, 5, 1, 12, 8, 4, 10, 1, 2, 14, 15, 1, 7, 8, 9, 5, 1, 2, 3, 4, 5, 1, 2, 13, 10, 6, 7, 8, 14, 5, 6, 2, 13, 4, 10, 1, 7, 3, 4, 1, 7, 8, 14, 15, 1, 12, 8, 9, 5, 1, 2, 3, 4, 5, 7, 8, 9, 15, 6, 12, 8, 4, 10, 1, 2, 3, 9, 5, 11, 8, 4, 5, 6, 7, 13, 14, 10, 1, 2, 8, 9, 10, 6, 2, 4, 5, 6, 2, 8, 4, 15, 6, 2, 8, 4, 5, 1, 7, 3, 5, 1, 12, 13, 9, 15, 6, 2, 8, 14, 5, 6, 7, 3, 9, 6, 7, 3, 4, 5, 6, 7, 3, 4, 5, 6, 7, 13, 4, 15, 7, 8, 4, 5, 11, 7, 8, 4, 10, 11, 7, 13, 9, 5, 11, 3, 4, 15, 11, 12, 8, 4, 5, 11, 12, 13, 14, 5, 11, 12, 9, 10, 1, 12, 8, 14, 10, 1, 2, 13, 9, 10, 11, 2, 3, 15, 1, 2, 8, 9, 15, 1, 2, 8, 14, 5, 6, 12, 8, 4]"
1530.02417317417,952675.8472145466,-184.16502228715717,"[14, 13, 5, 12, 6, 7, 8, 4, 0, 1, 11, 10, 2, 9, 3, 1, 12, 13, 4, 10, 1, 2, 8, 14, 10, 1, 2, 3, 14, 5, 7, 8, 4, 10, 1, 7, 13, 9, 5, 6, 2, 8, 4, 15, 11, 8, 9, 5, 1, 2, 8, 4, 5, 1, 12, 8, 4, 10, 1, 2, 14, 15, 1, 7, 8, 9, 5, 1, 2, 3, 4, 5, 1, 2, 13, 10, 1, 7, 8, 14, 15, 6, 2, 13, 4, 10, 1, 7, 3, 4, 1, 7, 8, 14, 15, 1, 12, 8, 9, 5, 1, 2, 3, 4, 5, 7, 8, 9, 5, 6, 12, 8, 14, 10, 6, 2, 3, 9, 5, 11, 13, 4, 5, 6, 7, 13, 14, 10, 1, 2, 8, 9, 15, 11, 2, 4, 10, 6, 2, 8, 4, 15, 11, 2, 8, 4, 5, 1, 7, 3, 5, 1, 12, 13, 9, 15, 6, 2, 8, 9, 5, 6, 7, 3, 9, 6, 7, 8, 4, 5, 6, 7, 3, 4, 5, 6, 7, 13, 4, 15, 7, 13, 4, 5, 11, 7, 8, 9, 10, 11, 7, 13, 9, 5, 11, 3, 4, 15, 11, 12, 8, 4, 5, 11, 12, 13, 14, 10, 11, 2, 9, 5, 1, 12, 8, 14, 10, 11, 2, 13, 9, 10, 11, 2, 3, 15, 1, 2, 8, 9, 15, 1, 7, 8, 14, 5, 6, 12, 8, 4]"
1540.482145757143,962301.3634190814,-184.02147903679645,"[14, 13, 5, 12, 6, 7, 8, 4, 0, 1, 11, 10, 2, 9, 3, 1, 12, 13, 4, 10, 1, 2, 8, 14, 10, 1, 2, 3, 14, 5, 7, 8, 4, 10, 1, 7, 13, 9, 5, 6, 2, 8, 4, 5, 11, 8, 9, 5, 1, 2, 8, 4, 5, 1, 12, 8, 4, 10, 1, 2, 14, 15, 1, 7, 8, 9, 5, 1, 2, 3, 4, 5, 1, 12, 13, 10, 1, 7, 8, 14, 15, 6, 2, 13, 4, 10, 1, 7, 3, 4, 1, 7, 8, 14, 15, 1, 12, 8, 4, 5, 6, 2, 13, 4, 5, 7, 8, 9, 5, 6, 12, 8, 4, 10, 1, 2, 3, 9, 5, 11, 13, 4, 5, 6, 7, 13, 14, 10, 1, 2, 8, 9, 15, 6, 2, 4, 5, 6, 2, 8, 4, 5, 6, 2, 8, 4, 5, 1, 7, 3, 5, 1, 12, 8, 9, 15, 6, 2, 8, 14, 5, 6, 7, 3, 9, 6, 7, 3, 4, 5, 6, 7, 3, 4, 5, 6, 7, 13, 14, 15, 7, 8, 4, 5, 11, 7, 8, 4, 10, 11, 7, 13, 9, 5, 11, 3, 4, 15, 11, 12, 13, 4, 5, 11, 12, 13, 14, 10, 11, 2, 9, 5, 1, 12, 8, 14, 10, 11, 2, 13, 9, 10, 11, 7, 3, 15, 1, 2, 8, 9, 15, 1, 2, 8, 14, 5, 6, 12, 8, 4]"
1499.9772756272723,925002.2660030599,-213.69019078282815,"[14, 12, 13, 5, 6, 7, 8, 4, 0, 1, 11, 10, 2, 9, 3, 1, 12, 13, 4, 5, 1, 2, 8, 14, 10, 6, 2, 3, 9, 5, 7, 8, 4, 15, 1, 7, 13, 9, 5, 6, 2, 8, 4, 10, 11, 3, 9, 5, 1, 2, 8, 4, 5, 1, 2, 8, 4, 10, 11, 2, 14, 10, 1, 7, 8, 9, 5, 1, 12, 3, 14, 5, 1, 2, 8, 5, 1, 7, 8, 14, 15, 6, 2, 13, 4, 10, 1, 2, 3, 4, 1, 7, 8, 14, 15, 1, 12, 8, 4, 5, 6, 2, 3, 4, 5, 7, 8, 9, 5, 1, 2, 8, 4, 10, 1, 2, 3, 9, 5, 11, 13, 4, 5, 6, 7, 13, 14, 10, 1, 7, 8, 9, 15, 6, 2, 9, 5, 6, 7, 8, 4, 5, 6, 7, 8, 4, 10, 1, 7, 3, 5, 1, 12, 8, 14, 15, 6, 2, 8, 9, 5, 6, 7, 3, 9, 6, 7, 3, 9, 5, 6, 7, 3, 4, 5, 6, 7, 8, 4, 5, 7, 3, 4, 5, 11, 12, 8, 4, 15, 11, 2, 8, 9, 5, 11, 3, 4, 10, 11, 12, 8, 4, 10, 11, 7, 8, 14, 10, 11, 2, 9, 5, 1, 12, 8, 14, 10, 1, 2, 3, 9, 5, 11, 2, 3, 10, 1, 2, 8, 9, 15, 1, 7, 8, 14, 5, 6, 12, 8, 4]"
1529.7153708653675,952537.7373600622,-204.2740824711399,"[14, 12, 13, 4, 6, 7, 8, 5, 0, 1, 11, 10, 2, 9, 3, 1, 12, 13, 4, 10, 1, 2, 3, 14, 10, 1, 7, 3, 14, 5, 7, 8, 4, 10, 1, 7, 13, 9, 5, 11, 2, 8, 4, 10, 11, 3, 9, 5, 1, 7, 8, 4, 5, 1, 2, 8, 14, 5, 1, 2, 14, 15, 1, 7, 8, 9, 5, 1, 2, 3, 4, 5, 1, 2, 13, 10, 1, 7, 8, 14, 15, 6, 2, 8, 4, 10, 1, 2, 3, 9, 1, 7, 8, 4, 15, 1, 12, 8, 9, 5, 1, 2, 3, 4, 5, 2, 3, 9, 5, 6, 12, 8, 4, 10, 1, 2, 3, 9, 10, 11, 13, 4, 5, 6, 7, 13, 14, 10, 1, 2, 8, 9, 15, 6, 2, 9, 10, 6, 12, 8, 4, 15, 6, 2, 8, 4, 5, 1, 7, 3, 5, 1, 12, 8, 9, 15, 6, 2, 8, 14, 5, 6, 7, 3, 9, 6, 7, 3, 4, 5, 6, 7, 3, 9, 15, 6, 2, 13, 4, 15, 7, 13, 4, 5, 11, 12, 8, 9, 10, 1, 12, 13, 9, 5, 11, 3, 4, 15, 11, 12, 8, 4, 10, 11, 7, 8, 14, 10, 11, 2, 9, 5, 1, 12, 8, 14, 10, 11, 2, 13, 9, 10, 11, 7, 3, 15, 1, 2, 8, 9, 15, 1, 2, 8, 14, 5, 6, 12, 13, 4]"
1612.930738830736,1029197.3659694097,-174.3384048881674,"[11, 14, 12, 6, 9, 3, 10, 13, 8, 4, 0, 7, 5, 2, 1, 1, 12, 8, 4, 10, 1, 2, 8, 14, 10, 11, 12, 3, 14, 5, 7, 8, 4, 10, 1, 7, 13, 9, 5, 11, 2, 8, 9, 15, 11, 3, 9, 5, 1, 2, 8, 4, 5, 1, 2, 13, 4, 5, 1, 2, 14, 10, 1, 7, 8, 9, 5, 1, 2, 3, 4, 5, 1, 2, 13, 10, 1, 2, 8, 14, 15, 6, 7, 13, 4, 10, 1, 2, 8, 4, 1, 7, 3, 14, 5, 1, 12, 8, 4, 5, 1, 7, 3, 14, 5, 7, 8, 4, 15, 11, 2, 8, 9, 10, 1, 2, 8, 9, 5, 6, 13, 4, 5, 6, 2, 13, 14, 10, 1, 2, 8, 9, 15, 6, 2, 14, 5, 6, 2, 8, 4, 10, 6, 12, 8, 4, 10, 1, 7, 3, 5, 1, 12, 13, 9, 15, 6, 2, 8, 9, 5, 6, 7, 3, 9, 6, 7, 8, 9, 5, 6, 2, 3, 4, 15, 6, 2, 13, 4, 15, 7, 13, 4, 5, 11, 12, 8, 4, 10, 1, 12, 13, 9, 5, 1, 3, 14, 15, 11, 12, 8, 4, 10, 11, 12, 13, 4, 10, 11, 2, 9, 10, 6, 7, 3, 14, 10, 1, 2, 13, 9, 5, 11, 7, 3, 15, 6, 2, 8, 9, 15, 6, 7, 8, 14, 5, 1, 2, 8, 14]"
