Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1808.3928600428574,1209112.4484246408,-240.7566935858586,Exploit,25.41522366522372,High,Fast,Flat,2003112825358.2268
1,1808.3928600428574,1209112.4484246408,-240.7566935858586,Exploit,-1.0,High,Fast,Flat,2280181262327.2637
2,1803.4040433040402,1204439.6057344563,-205.70590556998565,Balanced,9.98881673881715,High,Stagnant,Flat,2494424422769.9663
3,1699.630233780231,1108820.3828599255,-240.39854651875908,Explore,108.77380952380918,High,Slow,Flat,2699718415516.066
4,1699.630233780231,1108820.3828599255,-240.39854651875908,Exploit,-1.0,High,Fast,Flat,3244108983004.0527
5,1687.4662727412697,1097617.2528806182,-265.07370164862925,Balanced,17.16396103896136,High,Stagnant,Flat,3659041800551.152
6,1687.4662727412697,1097617.2528806182,-265.07370164862925,Exploit,-1.0,High,Slow,Flat,3730205162220.919
7,1651.9974776474744,1064969.5439487926,-260.0977449386726,Balanced,40.46879509379528,High,Stagnant,Flat,3857186181236.5015
8,1651.9974776474744,1064911.7472279412,-255.12885128787892,Exploit,-1.0,High,Fast,Flat,3933866271875.331
9,1642.2752554252518,1056078.0161579875,-254.7890853932181,Balanced,14.722222222222626,High,Stagnant,Flat,3968028499512.2812
10,1642.2752554252518,1056078.0161579875,-254.7890853932181,Balanced,-1.0,High,Slow,Flat,4094447600901.762
11,1642.2752554252518,1056078.0161579875,-254.7890853932181,Balanced,-1.0,High,Stagnant,Flat,4166864425414.945
12,1596.6230187730164,1014201.3837069968,-229.8909359126985,Balanced,50.65223665223539,High,Stagnant,Flat,4274411484133.249
13,1596.6230187730164,1014201.3837069968,-229.8909359126985,Exploit,-1.0,High,Fast,Flat,4368948838832.7397
14,1596.6230187730164,1014201.3837069968,-229.8909359126985,Exploit,-1.0,High,Stagnant,Flat,4490727517668.465
15,1596.6230187730164,1014201.3837069968,-229.8909359126985,Balanced,-1.0,High,Stagnant,Flat,4556020921557.769
16,1596.6230187730164,1014201.3837069968,-229.8909359126985,Balanced,-1.0,High,Stagnant,Flat,4661040726376.624
17,1581.2114026114,999860.167199796,-234.72361567460325,Balanced,20.411616161616394,High,Stagnant,Flat,4730678183716.986
18,1581.2114026114,999860.167199796,-234.72361567460325,Explore,-1.0,High,Slow,Flat,4801222809300.527
19,1581.2114026114,999860.167199796,-234.72361567460325,Balanced,-1.0,High,Stagnant,Flat,4858408943409.98
20,1581.2114026114,999860.167199796,-234.72361567460325,Balanced,-1.0,High,Stagnant,Flat,5006005748245.278
21,1581.2114026114,999860.167199796,-234.72361567460325,Balanced,-1.0,High,Stagnant,Flat,5029570467769.09
22,1570.906027431024,990694.1035698566,-224.63409250000007,Balanced,15.305375180375904,High,Stagnant,Flat,5144863240869.757
23,1570.906027431024,990694.1035698566,-224.63409250000007,Explore,-1.0,High,Slow,Flat,5144863240869.757
24,1570.906027431024,990694.1035698566,-224.63409250000007,Balanced,-1.0,High,Stagnant,Flat,5167709290649.869
25,1570.906027431024,990694.1035698566,-224.63409250000007,Exploit,-1.0,High,Stagnant,Flat,5358906800096.01
26,1568.9545483545455,988778.4173393592,-219.31625754689765,Balanced,6.951479076478563,High,Stagnant,Flat,5469448841709.906
27,1568.9545483545455,988778.4173393592,-219.31625754689765,Explore,-1.0,High,Slow,Flat,5428341976787.399
28,1558.0488845738812,978963.7055406827,-214.22807698773454,Balanced,15.905663780664327,High,Stagnant,Flat,5433498337300.203
29,1558.0488845738812,978963.7055406827,-214.22807698773454,Explore,-1.0,High,Slow,Flat,5400674981772.617
30,1558.0488845738812,978963.7055406827,-214.22807698773454,Explore,-1.0,High,Stagnant,Flat,5400674981772.617
31,1552.4327229577195,973734.8585334099,-209.24956052308806,Exploit,10.616161616161662,High,Stagnant,Flat,5479351835029.085
32,1552.4327229577195,973734.8585334099,-209.24956052308806,Explore,-1.0,High,Slow,Flat,5354566226510.468
33,1552.4327229577195,973734.8585334099,-209.24956052308806,Balanced,-1.0,High,Stagnant,Flat,5411675548062.279
34,1552.4327229577195,973734.8585334099,-209.24956052308806,Balanced,-1.0,High,Stagnant,Flat,5560517185637.144
35,1542.4327229577195,964484.0555667432,-214.24412738455996,Balanced,15.0,High,Stagnant,Flat,5599961304476.904
36,1542.4327229577195,964484.0555667432,-214.24412738455996,Balanced,-1.0,High,Slow,Flat,5602829721179.891
37,1542.4327229577195,964484.0555667432,-214.24412738455996,Balanced,-1.0,High,Stagnant,Flat,5708373830680.661
38,1527.1282496532465,950277.1860251056,-208.99604772005773,Balanced,20.30447330447305,High,Stagnant,Flat,5793717678503.9795
39,1527.1282496532465,950277.1860251056,-208.99604772005773,Explore,-1.0,High,Slow,Flat,5764221832682.764
40,1527.1282496532465,950277.1860251056,-208.99604772005773,Balanced,-1.0,High,Stagnant,Flat,5837103443623.787
41,1525.748379523376,948957.3721842828,-208.76469704906208,Balanced,6.379870129870596,High,Stagnant,Flat,5961511073950.781
42,1525.748379523376,948957.3721842828,-208.76469704906208,Explore,-1.0,High,Slow,Flat,5993711522289.268
43,1525.748379523376,948957.3721842828,-208.76469704906208,Balanced,-1.0,High,Stagnant,Flat,6113031075616.73
44,1525.748379523376,948957.3721842828,-208.76469704906208,Balanced,-1.0,High,Stagnant,Flat,6227983916115.513
45,1515.7483795233761,939741.4101564762,-208.81289575396823,Exploit,14.999999999999773,High,Stagnant,Flat,6382656981798.898
46,1515.7483795233761,939741.4101564762,-208.81289575396823,Explore,-1.0,High,Slow,Flat,6382656981798.898
47,1505.7483795233761,930600.0567287056,-213.99103282106776,Balanced,15.0,High,Stagnant,Flat,6400967113164.13
48,1505.7483795233761,930600.0567287056,-213.99103282106776,Explore,-1.0,High,Slow,Flat,6365891969286.153
49,1440.3371241121206,870197.0307672266,-188.55724714646465,Balanced,70.41125541125552,High,Stagnant,Flat,6463962431683.251
