Makespan,Energy,Reliability,Schedule
1666.2380981380957,1078031.688561347,-138.8789595310246,"[2, 14, 9, 5, 4, 7, 13, 12, 3, 8, 0, 10, 11, 1, 6, 6, 12, 13, 4, 10, 6, 2, 13, 4, 5, 6, 2, 8, 9, 5, 7, 13, 4, 10, 6, 7, 3, 14, 10, 6, 7, 3, 14, 10, 6, 8, 4, 5, 1, 7, 3, 9, 5, 1, 12, 13, 4, 10, 6, 7, 14, 5, 1, 2, 8, 9, 5, 1, 2, 13, 4, 10, 6, 12, 13, 5, 1, 7, 8, 4, 5, 1, 2, 13, 4, 5, 6, 12, 3, 9, 6, 2, 3, 4, 10, 1, 2, 13, 4, 5, 11, 2, 13, 9, 5, 2, 8, 9, 15, 1, 12, 13, 9, 10, 11, 2, 3, 4, 10, 6, 8, 4, 10, 6, 12, 3, 9, 5, 1, 7, 8, 4, 5, 11, 2, 9, 5, 1, 12, 8, 9, 5, 1, 2, 3, 9, 5, 1, 7, 8, 10, 6, 2, 3, 4, 10, 1, 2, 13, 4, 15, 6, 2, 8, 9, 11, 2, 13, 4, 10, 1, 2, 8, 14, 5, 1, 2, 13, 4, 5, 12, 13, 4, 5, 1, 7, 13, 4, 10, 1, 7, 8, 4, 15, 1, 13, 9, 5, 1, 12, 13, 14, 5, 6, 2, 3, 9, 5, 1, 12, 4, 5, 6, 7, 13, 9, 5, 6, 7, 13, 9, 15, 6, 7, 3, 10, 1, 7, 8, 4, 5, 11, 2, 13, 4, 5, 1, 7, 8, 14]"
1485.5158759158728,911781.4952924182,-173.56267831529578,"[14, 6, 1, 9, 2, 4, 7, 13, 12, 8, 0, 3, 11, 10, 5, 1, 2, 3, 4, 5, 1, 12, 13, 4, 5, 6, 2, 8, 9, 5, 2, 13, 9, 15, 1, 7, 3, 4, 10, 6, 2, 3, 4, 10, 1, 8, 4, 5, 1, 7, 3, 9, 10, 6, 7, 3, 4, 10, 6, 2, 14, 5, 6, 2, 8, 4, 5, 11, 2, 3, 4, 10, 1, 7, 3, 10, 1, 7, 13, 9, 10, 1, 7, 13, 4, 5, 6, 7, 8, 4, 6, 2, 3, 9, 10, 1, 2, 13, 9, 10, 1, 2, 8, 4, 5, 2, 8, 9, 15, 1, 12, 3, 4, 5, 6, 7, 3, 4, 10, 1, 8, 4, 10, 6, 12, 3, 9, 5, 1, 7, 13, 9, 5, 1, 2, 4, 5, 1, 2, 8, 9, 5, 1, 2, 3, 9, 5, 1, 7, 8, 10, 6, 2, 3, 4, 10, 11, 7, 13, 4, 10, 6, 2, 8, 9, 11, 12, 3, 9, 10, 1, 2, 13, 14, 5, 1, 7, 3, 4, 5, 7, 3, 14, 15, 6, 7, 13, 4, 10, 1, 7, 13, 14, 10, 1, 13, 9, 10, 6, 12, 13, 14, 5, 6, 12, 3, 14, 15, 1, 12, 14, 5, 6, 12, 13, 9, 5, 6, 2, 3, 9, 10, 11, 2, 3, 10, 1, 2, 3, 9, 5, 1, 2, 13, 14, 5, 11, 7, 8, 4]"
1571.1114747614718,990334.3225054521,-144.00663928932184,"[2, 14, 10, 8, 1, 6, 5, 3, 7, 0, 9, 4, 13, 12, 11, 6, 7, 13, 4, 10, 6, 12, 13, 4, 5, 6, 2, 8, 4, 5, 2, 13, 4, 10, 6, 2, 3, 14, 10, 11, 2, 3, 14, 10, 6, 8, 4, 5, 1, 7, 8, 9, 5, 1, 12, 13, 4, 5, 11, 7, 14, 10, 1, 2, 8, 9, 5, 1, 2, 13, 4, 10, 1, 12, 13, 5, 6, 7, 8, 4, 5, 1, 2, 13, 4, 5, 1, 12, 3, 4, 6, 2, 8, 4, 10, 1, 2, 13, 9, 10, 1, 2, 8, 14, 5, 2, 8, 4, 15, 1, 2, 3, 4, 5, 11, 2, 8, 9, 10, 6, 8, 4, 10, 6, 2, 13, 9, 10, 1, 7, 13, 4, 5, 1, 2, 4, 5, 1, 12, 13, 9, 5, 1, 7, 3, 4, 5, 1, 7, 8, 5, 6, 12, 3, 4, 5, 6, 2, 13, 14, 15, 6, 2, 8, 9, 6, 12, 13, 9, 10, 1, 7, 8, 4, 5, 11, 7, 13, 4, 5, 12, 3, 4, 5, 6, 7, 8, 4, 10, 1, 7, 8, 14, 10, 11, 13, 9, 5, 1, 2, 8, 14, 10, 6, 12, 3, 14, 5, 1, 12, 14, 5, 6, 7, 13, 9, 5, 6, 7, 3, 9, 10, 1, 7, 3, 10, 6, 2, 8, 14, 5, 1, 12, 13, 4, 5, 1, 7, 3, 14]"
1573.2341298841266,992314.5574798783,-138.99345546176045,"[2, 14, 9, 5, 4, 7, 13, 12, 3, 8, 0, 10, 11, 1, 6, 6, 12, 13, 4, 10, 6, 2, 13, 4, 5, 6, 2, 8, 4, 5, 7, 13, 9, 10, 1, 7, 3, 4, 10, 6, 7, 3, 14, 10, 6, 8, 4, 5, 1, 7, 8, 9, 5, 1, 12, 13, 4, 15, 6, 7, 14, 5, 1, 2, 8, 9, 5, 1, 2, 13, 4, 15, 1, 12, 3, 5, 1, 7, 13, 4, 10, 1, 2, 13, 4, 5, 6, 12, 8, 9, 6, 7, 3, 9, 10, 1, 2, 3, 4, 5, 11, 2, 13, 4, 5, 2, 8, 4, 15, 11, 12, 13, 9, 5, 11, 2, 3, 4, 10, 1, 8, 9, 10, 1, 12, 3, 9, 5, 1, 2, 8, 4, 5, 11, 2, 9, 5, 1, 12, 8, 9, 15, 1, 7, 8, 14, 5, 1, 7, 8, 10, 6, 2, 8, 4, 10, 1, 7, 13, 4, 15, 6, 12, 8, 9, 1, 2, 13, 9, 10, 1, 2, 13, 14, 5, 1, 2, 3, 4, 5, 12, 13, 4, 5, 1, 7, 8, 4, 10, 1, 7, 13, 14, 15, 1, 13, 9, 5, 1, 12, 13, 14, 5, 6, 12, 3, 9, 15, 1, 2, 4, 5, 6, 7, 13, 4, 5, 6, 7, 3, 9, 15, 6, 7, 3, 10, 6, 7, 8, 4, 5, 11, 2, 13, 4, 5, 1, 7, 3, 14]"
1472.9255079505047,900123.981515993,-188.66679880952378,"[14, 2, 6, 9, 1, 4, 7, 13, 12, 8, 0, 3, 11, 10, 5, 1, 2, 3, 4, 10, 1, 12, 13, 4, 5, 6, 2, 8, 9, 5, 12, 13, 9, 15, 1, 7, 3, 4, 10, 6, 2, 3, 4, 10, 1, 8, 4, 10, 1, 7, 3, 9, 10, 6, 7, 3, 4, 10, 6, 2, 14, 5, 6, 2, 8, 4, 5, 11, 2, 3, 4, 10, 1, 12, 3, 10, 1, 7, 13, 4, 10, 1, 7, 13, 4, 5, 6, 2, 8, 4, 6, 2, 3, 9, 10, 1, 2, 13, 9, 10, 1, 2, 8, 4, 5, 2, 8, 9, 15, 1, 12, 13, 4, 5, 6, 7, 3, 4, 10, 1, 8, 4, 10, 6, 12, 3, 9, 5, 1, 7, 13, 9, 5, 1, 2, 4, 15, 1, 2, 8, 4, 5, 1, 2, 3, 9, 10, 1, 7, 8, 10, 6, 2, 3, 4, 10, 11, 7, 13, 4, 10, 6, 2, 8, 9, 1, 7, 3, 9, 10, 1, 2, 3, 14, 5, 1, 7, 3, 14, 5, 7, 3, 14, 15, 6, 12, 13, 4, 10, 1, 7, 13, 14, 10, 6, 13, 9, 10, 6, 7, 13, 14, 5, 6, 12, 3, 9, 10, 1, 7, 14, 5, 6, 12, 13, 9, 5, 1, 2, 3, 9, 10, 11, 2, 3, 10, 1, 2, 3, 9, 5, 1, 2, 13, 14, 5, 11, 7, 8, 4]"
1509.525976925974,933796.7155829846,-163.5852386507936,"[14, 4, 1, 8, 10, 6, 7, 13, 12, 0, 3, 11, 5, 2, 9, 6, 7, 3, 4, 10, 1, 12, 13, 4, 5, 1, 2, 8, 9, 5, 2, 13, 9, 15, 1, 7, 3, 4, 10, 6, 2, 3, 4, 10, 1, 8, 4, 5, 1, 7, 3, 9, 5, 6, 7, 3, 4, 5, 6, 2, 14, 5, 6, 2, 13, 4, 5, 1, 2, 3, 4, 10, 1, 12, 3, 15, 1, 12, 13, 4, 10, 1, 2, 8, 4, 5, 1, 2, 8, 4, 6, 2, 3, 4, 5, 6, 2, 13, 4, 10, 11, 2, 8, 4, 5, 7, 8, 9, 5, 1, 12, 13, 4, 5, 6, 7, 3, 4, 10, 1, 8, 4, 10, 6, 12, 3, 9, 5, 1, 7, 13, 9, 5, 1, 2, 4, 15, 1, 2, 8, 9, 15, 1, 2, 3, 9, 5, 1, 7, 8, 10, 6, 2, 13, 4, 5, 11, 2, 13, 4, 10, 6, 2, 8, 14, 11, 2, 3, 9, 10, 1, 2, 3, 9, 5, 1, 7, 13, 4, 5, 7, 3, 14, 10, 6, 7, 13, 4, 10, 1, 7, 13, 14, 10, 6, 13, 9, 10, 6, 7, 13, 14, 5, 6, 12, 3, 9, 15, 1, 12, 14, 5, 6, 12, 13, 9, 5, 6, 2, 3, 9, 10, 11, 7, 3, 10, 6, 7, 8, 14, 5, 1, 7, 8, 9, 5, 11, 7, 8, 4]"
1523.8903347903315,947030.5008956864,-158.79496941919191,"[14, 2, 6, 9, 1, 4, 7, 13, 12, 8, 0, 3, 11, 10, 5, 6, 7, 13, 4, 10, 1, 12, 13, 4, 5, 6, 2, 8, 9, 5, 12, 13, 4, 15, 1, 7, 3, 4, 10, 6, 2, 3, 4, 10, 1, 8, 4, 5, 1, 7, 3, 9, 15, 6, 7, 8, 4, 10, 6, 2, 14, 5, 6, 2, 8, 4, 5, 1, 2, 3, 4, 10, 1, 12, 3, 15, 1, 7, 13, 4, 10, 1, 2, 13, 4, 5, 1, 2, 8, 4, 6, 2, 3, 9, 5, 1, 2, 13, 9, 10, 1, 7, 8, 4, 5, 2, 8, 9, 5, 1, 7, 13, 4, 10, 6, 7, 3, 4, 10, 1, 8, 4, 10, 1, 12, 3, 4, 5, 6, 7, 13, 9, 5, 1, 2, 4, 5, 1, 2, 8, 4, 5, 1, 2, 3, 9, 10, 1, 7, 8, 10, 6, 2, 3, 4, 5, 11, 7, 13, 4, 10, 6, 2, 8, 9, 11, 12, 13, 4, 10, 1, 2, 13, 14, 5, 1, 7, 3, 4, 5, 7, 13, 4, 15, 11, 7, 13, 4, 10, 1, 7, 13, 14, 10, 6, 13, 9, 10, 6, 7, 13, 14, 5, 6, 12, 3, 14, 15, 1, 12, 14, 5, 6, 12, 13, 9, 5, 6, 2, 3, 9, 10, 11, 7, 3, 10, 1, 2, 3, 9, 5, 1, 2, 13, 14, 5, 11, 2, 8, 4]"
1501.5591659591628,926478.4479752752,-173.38828141053398,"[2, 6, 9, 0, 1, 4, 7, 13, 12, 8, 3, 11, 10, 5, 14, 1, 2, 3, 4, 10, 1, 12, 13, 4, 5, 6, 2, 8, 9, 5, 7, 13, 9, 15, 1, 2, 3, 4, 10, 6, 2, 3, 4, 10, 1, 3, 4, 5, 1, 7, 3, 9, 5, 6, 7, 3, 4, 10, 6, 2, 14, 5, 6, 2, 8, 4, 5, 11, 2, 3, 4, 10, 1, 7, 3, 10, 1, 7, 13, 4, 10, 1, 7, 13, 4, 5, 6, 2, 8, 4, 6, 2, 3, 9, 10, 1, 2, 13, 9, 10, 1, 2, 8, 4, 5, 2, 8, 9, 15, 1, 12, 13, 4, 5, 6, 7, 3, 4, 10, 1, 8, 4, 10, 6, 7, 3, 9, 5, 1, 7, 13, 9, 5, 1, 2, 4, 15, 6, 2, 8, 9, 5, 1, 2, 3, 9, 10, 1, 7, 8, 10, 6, 2, 3, 4, 10, 11, 7, 13, 4, 10, 6, 2, 8, 9, 11, 12, 3, 9, 10, 1, 2, 13, 9, 5, 1, 7, 3, 4, 5, 7, 3, 14, 15, 6, 7, 13, 4, 10, 1, 7, 13, 14, 5, 6, 13, 9, 10, 6, 7, 13, 14, 5, 6, 12, 3, 14, 15, 1, 12, 14, 5, 6, 12, 13, 9, 5, 6, 2, 3, 9, 5, 11, 2, 3, 10, 1, 2, 3, 9, 5, 1, 2, 13, 9, 5, 11, 7, 8, 4]"
1509.525976925974,933874.5179391968,-163.5614795598845,"[14, 4, 1, 8, 10, 6, 7, 13, 12, 0, 3, 11, 5, 2, 9, 6, 7, 8, 4, 10, 1, 12, 13, 4, 5, 1, 2, 8, 9, 5, 2, 13, 9, 15, 1, 7, 13, 4, 10, 6, 2, 13, 4, 10, 1, 8, 4, 5, 1, 7, 3, 9, 5, 6, 2, 3, 4, 5, 11, 2, 14, 5, 6, 2, 13, 4, 5, 1, 2, 3, 4, 10, 1, 12, 3, 15, 1, 12, 13, 4, 10, 1, 2, 8, 4, 5, 1, 2, 8, 4, 6, 2, 3, 4, 5, 6, 2, 13, 4, 10, 11, 2, 8, 4, 5, 7, 8, 9, 5, 1, 12, 13, 4, 5, 6, 7, 3, 4, 10, 1, 8, 4, 10, 6, 2, 3, 9, 5, 1, 7, 13, 9, 5, 1, 2, 4, 15, 1, 2, 8, 9, 15, 1, 2, 3, 9, 5, 1, 7, 8, 10, 6, 2, 13, 4, 5, 11, 2, 13, 4, 10, 6, 2, 8, 14, 11, 2, 3, 9, 10, 1, 2, 3, 9, 5, 1, 7, 8, 4, 5, 7, 3, 14, 10, 6, 7, 13, 4, 10, 1, 7, 13, 14, 10, 6, 13, 9, 10, 6, 7, 13, 14, 5, 6, 12, 3, 9, 15, 1, 12, 14, 5, 6, 12, 13, 9, 5, 6, 2, 3, 9, 10, 11, 7, 3, 10, 6, 7, 8, 14, 5, 1, 7, 8, 9, 5, 11, 7, 8, 4]"
1474.727997127994,901580.3597408778,-178.59644351370852,"[14, 2, 6, 9, 1, 4, 7, 13, 12, 8, 0, 3, 11, 10, 5, 1, 2, 3, 4, 10, 1, 12, 13, 4, 5, 6, 2, 8, 9, 5, 12, 13, 9, 15, 1, 7, 3, 4, 10, 6, 2, 13, 4, 10, 1, 8, 4, 5, 1, 7, 3, 4, 10, 6, 7, 3, 4, 10, 6, 2, 14, 5, 6, 2, 8, 4, 5, 11, 2, 3, 4, 10, 1, 7, 3, 10, 6, 7, 13, 4, 10, 1, 7, 13, 4, 5, 6, 2, 8, 4, 6, 2, 3, 9, 10, 1, 2, 13, 9, 10, 1, 2, 8, 4, 5, 2, 8, 9, 15, 11, 12, 13, 4, 5, 6, 7, 3, 4, 10, 1, 8, 4, 10, 6, 12, 3, 9, 5, 1, 7, 13, 9, 5, 1, 2, 4, 15, 6, 2, 8, 9, 5, 1, 2, 3, 9, 10, 1, 7, 8, 10, 6, 2, 8, 4, 10, 11, 7, 13, 4, 10, 6, 2, 8, 9, 11, 7, 3, 9, 10, 1, 2, 13, 14, 5, 1, 7, 3, 9, 5, 7, 3, 14, 15, 6, 7, 13, 4, 10, 1, 7, 13, 14, 5, 6, 13, 9, 10, 6, 7, 13, 14, 5, 6, 12, 3, 14, 15, 6, 12, 14, 5, 6, 12, 13, 9, 5, 6, 2, 3, 9, 10, 11, 2, 3, 10, 1, 2, 3, 9, 5, 1, 2, 13, 4, 5, 11, 7, 8, 4]"
