Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1781.9696998696973,1183772.5811921877,-315.4654217316018,Explore,75.6919022087004,High,Fast,Flat,1902786314681.292
1,1781.9696998696973,1183772.5811921877,-315.4654217316018,Exploit,-0.8931315635091511,High,Fast,Rise,2106134113107.466
2,1710.69228284228,1118697.774158948,-255.30939143939403,Balanced,76.38146197884384,High,Stagnant,Rise,2325266734603.773
3,1710.69228284228,1118697.774158948,-255.30939143939403,Balanced,-0.9424922325337339,High,Fast,Rise,2458987633274.4106
4,1710.69228284228,1118697.774158948,-255.30939143939403,Balanced,-0.9842045141091732,High,Stagnant,Rise,2497828537741.514
5,1707.217354992352,1115256.3955732444,-280.22208962842717,Balanced,8.562381525061806,High,Stagnant,Rise,2716272823221.0913
6,1700.69228284228,1109497.4375473317,-245.30541366161623,Exploit,11.562944447274685,High,Slow,Rise,2819144314865.7197
7,1700.69228284228,1109497.4375473317,-245.30541366161623,Explore,-0.9660072220192287,High,Slow,Rise,2914974861656.7036
8,1700.69228284228,1109497.4375473317,-245.30541366161623,Balanced,-0.9330295790839698,High,Stagnant,Rise,3110191955101.5
9,1700.69228284228,1109497.4375473317,-245.30541366161623,Exploit,-0.9874836683063484,High,Stagnant,Rise,3149120149242.477
10,1655.3870880370855,1067626.7035942008,-275.1878306890332,Balanced,50.310743098026975,High,Stagnant,Rise,3166592389994.9424
11,1655.3870880370855,1067626.7035942008,-275.1878306890332,Balanced,-0.9998744975713472,High,Fast,Rise,3166989805030.4404
12,1655.3870880370855,1067626.7035942008,-275.1878306890332,Explore,-0.999263089742994,High,Stagnant,Rise,3169323592301.6006
13,1614.7831919331893,1030451.9098457952,-249.71252363997118,Balanced,45.65723792435413,High,Stagnant,Rise,3338381082335.207
14,1614.7831919331893,1030451.9098457952,-249.71252363997118,Explore,-1.0,High,Fast,Rise,3338381082335.207
15,1614.7831919331893,1030451.9098457952,-249.71252363997118,Explore,-0.9875778815856996,High,Stagnant,Flat,3379850847452.035
16,1614.7831919331893,1030451.9098457952,-249.71252363997118,Explore,-1.010819117976567,High,Stagnant,Rise,3343283842390.251
17,1611.5618715868686,1027527.6918788252,-234.6709257503608,Exploit,8.278447091234616,High,Stagnant,Flat,3534274765629.358
