Makespan,Energy,Reliability
1598.600291500288,1015873.7269448168,-159.06099556998558
1729.638711413709,1136605.7773747095,-154.06339628427125
1493.9852121352087,919466.9007143407,-173.38647260101004
1501.5519509519477,926699.163775347,-168.75799923160164
1473.9852121352087,900971.0011139439,-183.36687942640688
1483.55303320303,909764.1819293409,-178.5510756277056
1538.4513016012984,960375.3156000514,-168.40230688672426
1497.4978383978348,922919.1066659675,-173.29638958513704
1540.704187604184,962720.7370050475,-163.735934549062
1488.6755079505047,914572.7001782838,-173.71547188672432
1471.1280692780658,898366.8013361155,-183.49710851010093
1461.7619077619042,889748.4024887378,-198.48948327922065
1508.0533939533907,932317.5882485686,-168.44391167388162
1465.92352382352,893598.7657562415,-183.57103239898987
1484.5773838523805,910472.5150338283,-178.69458343434343
1590.6518788018757,1008627.8905093049,-164.1241493362193
1586.34163349163,1004458.603578547,-168.27359783549775
1590.8881702881667,1008840.7457150152,-164.0057922330447
1550.2151904901873,971272.8114556359,-168.3655198989899
1746.077203477201,1151738.6158885371,-163.85598904401155
1682.3113304613269,1093238.3766967107,-163.8815927777777
1492.8741010240976,918434.9867380925,-178.2319068939394
1518.3564242564203,941787.8877678323,-168.53769098124093
1508.2943751943717,932759.8057850548,-173.66724414502158
1478.2233073733044,904645.2316295286,-188.70595685064933
1474.104079379076,901142.1851086841,-193.39330411616154
1744.6486320486297,1150103.8254691793,-164.063743997114
1478.2233073733044,904797.4492469311,-198.58136610389602
1552.4725858725826,973439.0203963574,-168.6184917243867
1505.5102842852807,929999.4778717504,-178.4803676875901
