Generation,Best_Makespan,Best_Energy,Best_Reliability,Action,Reward,State_Div,State_Imp,State_HV,Hypervolume
0,1820.55736220736,1219952.1981836925,-240.48665543290036,Balanced,-0.6993918241495014,High,Fast,Flat,1546671201888.157
1,1770.993148643146,1174016.8043530462,-260.3380182287156,Balanced,54.73377076559922,High,Stagnant,Rise,1808920442343.3982
2,1697.8935815435786,1106951.1286678656,-265.06220468614714,Balanced,78.19424681311278,High,Fast,Rise,1980188511650.9224
3,1692.4195555695526,1101894.6856093376,-260.12755793290046,Explore,10.523670057096114,High,Fast,Rise,2078493154617.6824
4,1692.4195555695526,1101894.6856093376,-260.12755793290046,Balanced,-0.96283812986412,High,Slow,Rise,2155733847307.9001
5,1684.7301616301586,1094558.0997297342,-245.27858252525238,Balanced,12.736316822651228,High,Stagnant,Rise,2256887094958.7935
6,1684.7301616301586,1094558.0997297342,-245.27858252525238,Explore,-0.9720534930974251,High,Slow,Rise,2319959205736.3916
7,1657.8935815435786,1070097.7691494639,-265.00356005772005,Balanced,31.89641047462009,High,Stagnant,Rise,2458763265252.9155
8,1657.8935815435786,1070097.7691494639,-265.00356005772005,Balanced,-0.9832749742659523,High,Fast,Rise,2499886144138.2017
9,1622.6807388307357,1037567.7638239079,-254.8895358333332,Balanced,40.25318517877218,High,Stagnant,Rise,2600737715734.9585
10,1622.6807388307357,1037567.7638239079,-254.8895358333332,Explore,-0.9869845829707805,High,Fast,Rise,2634587401688.8687
11,1622.6807388307357,1037567.7638239079,-254.8895358333332,Balanced,-0.9558238722986896,High,Stagnant,Rise,2750973271186.1396
12,1619.64899279899,1034784.355610972,-254.83830964285704,Exploit,8.09929142963857,High,Stagnant,Rise,2936788855381.4136
13,1619.64899279899,1034784.355610972,-254.83830964285704,Exploit,-0.9679880020199596,High,Slow,Rise,3030801334287.6885
14,1619.64899279899,1034747.441260972,-254.83420964285705,Exploit,-0.9834330839716628,High,Stagnant,Rise,3081012365491.405
15,1615.7956378206347,1031215.4084591101,-239.8347619155843,Exploit,8.88357530634408,High,Stagnant,Rise,3174121569713.867
16,1600.4188340688306,1017044.4206812165,-239.73306350288584,Balanced,20.40380514474677,High,Slow,Rise,3259827273465.452
17,1600.4188340688306,1017044.4206812165,-239.73306350288584,Balanced,-0.9987386912430609,High,Slow,Rise,3263938922151.583
18,1600.4188340688306,1017044.4206812165,-239.73306350288584,Balanced,-0.9781943097071035,High,Stagnant,Rise,3335111363422.9507
19,1562.6138196388165,982229.9512084607,-254.41564664502152,Balanced,42.82425621579134,High,Stagnant,Rise,3399284861821.0693
20,1562.6138196388165,982229.9512084607,-254.41564664502152,Exploit,-0.9788512055742131,High,Fast,Rise,3471175638558.4126
21,1562.6138196388165,982229.9512084607,-254.41564664502152,Balanced,-0.9914642667894189,High,Stagnant,Rise,3500804667736.216
22,1562.6138196388165,982229.9512084607,-254.41564664502152,Balanced,-0.992716247166363,High,Stagnant,Rise,3526303663654.849
