Makespan,Energy,Reliability,Schedule
1731.8477662477633,1138257.09165801,-194.34149453823952,"[0, 14, 7, 6, 11, 5, 4, 2, 13, 3, 9, 1, 12, 8, 10, 6, 12, 8, 4, 5, 6, 2, 13, 9, 5, 6, 12, 13, 14, 5, 2, 3, 4, 5, 11, 2, 3, 9, 10, 6, 7, 13, 9, 5, 6, 13, 9, 5, 1, 12, 8, 9, 5, 6, 7, 13, 4, 15, 11, 7, 9, 10, 6, 2, 3, 9, 15, 6, 2, 13, 14, 10, 1, 12, 8, 15, 1, 12, 8, 4, 10, 6, 2, 8, 4, 15, 6, 12, 13, 4, 6, 2, 3, 14, 5, 1, 7, 13, 9, 5, 11, 2, 3, 9, 5, 2, 3, 4, 15, 1, 7, 8, 9, 5, 1, 7, 13, 4, 5, 1, 13, 9, 15, 6, 7, 3, 14, 10, 6, 7, 8, 4, 15, 6, 12, 9, 5, 1, 12, 3, 9, 5, 1, 2, 8, 4, 10, 1, 2, 3, 10, 6, 2, 8, 14, 10, 6, 12, 13, 9, 10, 6, 2, 3, 4, 6, 12, 3, 4, 10, 11, 7, 13, 4, 15, 6, 7, 3, 9, 5, 7, 8, 4, 10, 1, 7, 8, 14, 10, 11, 12, 8, 14, 15, 1, 8, 9, 15, 1, 7, 8, 9, 15, 6, 2, 8, 9, 5, 6, 2, 4, 15, 1, 12, 8, 14, 5, 1, 2, 3, 14, 5, 6, 2, 3, 15, 6, 7, 3, 9, 5, 11, 2, 3, 9, 15, 1, 2, 3, 9]"
1476.3791515291484,902937.3356447954,-263.74732584776336,"[13, 3, 9, 10, 8, 4, 1, 0, 7, 6, 2, 5, 12, 14, 11, 1, 2, 8, 4, 15, 1, 2, 8, 4, 5, 1, 2, 13, 9, 5, 12, 3, 14, 10, 1, 7, 8, 9, 15, 11, 2, 3, 4, 5, 1, 8, 4, 5, 6, 2, 8, 4, 5, 1, 2, 8, 4, 10, 1, 7, 4, 5, 11, 7, 3, 9, 10, 11, 7, 8, 4, 15, 6, 12, 13, 10, 11, 7, 13, 4, 5, 1, 2, 3, 9, 15, 6, 7, 13, 9, 6, 7, 8, 9, 5, 6, 2, 3, 9, 5, 11, 12, 3, 9, 5, 7, 3, 14, 10, 1, 12, 8, 14, 10, 11, 2, 8, 4, 5, 6, 3, 14, 10, 11, 7, 3, 9, 10, 6, 7, 8, 9, 5, 6, 2, 9, 10, 6, 2, 3, 9, 10, 1, 7, 3, 9, 5, 11, 7, 8, 5, 11, 7, 8, 4, 15, 1, 12, 3, 14, 5, 6, 2, 8, 14, 6, 2, 3, 4, 5, 11, 12, 3, 4, 15, 1, 12, 8, 9, 10, 12, 3, 4, 10, 6, 2, 3, 14, 10, 11, 2, 8, 4, 10, 6, 8, 4, 5, 6, 2, 13, 4, 15, 11, 7, 8, 9, 10, 1, 2, 4, 5, 1, 7, 8, 4, 10, 6, 2, 8, 14, 10, 1, 2, 13, 15, 11, 2, 3, 9, 5, 6, 2, 3, 4, 5, 1, 2, 3, 9]"
1459.0054141554108,887073.7667634749,-263.84560534632027,"[13, 3, 9, 10, 8, 4, 0, 1, 7, 11, 5, 2, 12, 14, 6, 1, 2, 3, 4, 15, 1, 2, 8, 14, 5, 1, 2, 13, 9, 5, 12, 8, 14, 10, 1, 7, 8, 9, 5, 11, 2, 3, 4, 5, 1, 3, 9, 5, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 2, 4, 5, 11, 7, 3, 4, 5, 11, 12, 8, 4, 15, 6, 12, 13, 5, 6, 7, 8, 4, 10, 1, 2, 8, 9, 15, 11, 2, 13, 14, 6, 7, 3, 9, 5, 6, 2, 3, 9, 5, 11, 12, 3, 9, 5, 7, 3, 9, 10, 1, 7, 8, 14, 10, 11, 2, 8, 9, 5, 6, 3, 14, 10, 11, 7, 3, 4, 10, 11, 7, 13, 9, 5, 11, 2, 9, 5, 6, 2, 3, 9, 10, 1, 7, 3, 9, 5, 6, 12, 8, 5, 1, 7, 3, 4, 15, 1, 12, 3, 14, 5, 6, 2, 8, 14, 6, 2, 3, 4, 5, 11, 12, 3, 4, 15, 1, 7, 3, 4, 10, 12, 3, 9, 5, 1, 2, 3, 14, 10, 11, 2, 8, 4, 15, 6, 3, 4, 5, 6, 2, 13, 4, 15, 11, 7, 8, 9, 10, 1, 2, 4, 5, 1, 2, 13, 4, 10, 6, 2, 8, 4, 15, 1, 2, 13, 15, 1, 7, 3, 9, 5, 6, 2, 3, 4, 5, 1, 2, 3, 9]"
1519.9837691337657,943189.0145502535,-199.00546563492063,"[3, 14, 9, 10, 8, 4, 0, 1, 7, 2, 6, 11, 13, 12, 5, 6, 2, 3, 9, 15, 1, 2, 3, 9, 5, 6, 2, 13, 9, 5, 12, 13, 14, 5, 1, 2, 13, 9, 5, 11, 2, 8, 4, 5, 1, 8, 9, 10, 6, 2, 8, 4, 5, 1, 2, 13, 9, 5, 1, 2, 14, 5, 1, 7, 3, 9, 15, 11, 7, 8, 4, 15, 6, 12, 13, 5, 11, 12, 13, 4, 10, 6, 2, 8, 9, 5, 6, 2, 3, 4, 1, 2, 8, 9, 5, 6, 7, 13, 9, 5, 11, 2, 3, 9, 5, 2, 13, 4, 15, 6, 7, 3, 9, 10, 11, 7, 8, 4, 5, 6, 13, 9, 10, 11, 7, 3, 9, 10, 11, 7, 8, 9, 15, 6, 2, 14, 5, 6, 2, 3, 9, 10, 11, 7, 3, 9, 10, 1, 12, 8, 5, 1, 7, 8, 9, 5, 1, 2, 13, 9, 10, 6, 2, 8, 4, 6, 2, 13, 4, 10, 11, 12, 3, 4, 15, 6, 7, 8, 4, 15, 12, 3, 9, 10, 6, 2, 3, 14, 5, 11, 2, 8, 9, 15, 6, 13, 9, 15, 1, 2, 13, 9, 15, 6, 2, 8, 9, 5, 1, 7, 4, 5, 1, 2, 13, 4, 5, 1, 2, 3, 14, 10, 6, 2, 13, 5, 6, 12, 13, 9, 5, 6, 2, 3, 4, 10, 1, 2, 3, 9]"
1477.242607517604,904062.2216317505,-243.7625044480519,"[13, 9, 3, 10, 8, 4, 0, 1, 7, 6, 2, 5, 11, 12, 14, 6, 2, 3, 4, 15, 1, 12, 8, 9, 5, 1, 2, 13, 9, 5, 12, 3, 14, 10, 1, 7, 8, 9, 15, 11, 2, 8, 4, 5, 1, 3, 9, 10, 1, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 2, 4, 10, 11, 7, 3, 14, 15, 1, 2, 8, 4, 15, 1, 12, 13, 10, 11, 7, 8, 4, 10, 1, 2, 8, 9, 15, 11, 2, 13, 14, 6, 7, 3, 14, 5, 6, 2, 3, 9, 5, 1, 12, 3, 9, 5, 7, 3, 4, 10, 1, 7, 8, 14, 10, 11, 2, 8, 4, 5, 6, 3, 14, 10, 6, 7, 3, 9, 10, 1, 7, 8, 14, 5, 6, 2, 9, 5, 6, 7, 3, 9, 10, 1, 7, 3, 9, 5, 6, 12, 8, 5, 1, 7, 8, 4, 5, 1, 2, 3, 14, 15, 6, 2, 8, 14, 6, 2, 3, 4, 10, 11, 12, 8, 4, 5, 1, 7, 3, 9, 5, 12, 8, 4, 5, 6, 2, 8, 9, 10, 1, 2, 8, 4, 10, 6, 3, 4, 5, 6, 2, 13, 4, 15, 11, 7, 8, 9, 10, 1, 2, 4, 5, 1, 2, 13, 4, 10, 6, 2, 8, 4, 15, 1, 2, 13, 15, 1, 12, 3, 9, 5, 6, 2, 3, 4, 5, 1, 2, 3, 9]"
1476.3791515291484,903106.8486285328,-258.6337253030303,"[13, 3, 9, 10, 8, 4, 1, 0, 7, 6, 2, 5, 12, 14, 11, 1, 2, 8, 4, 15, 1, 2, 8, 4, 5, 1, 2, 13, 9, 5, 12, 3, 14, 10, 1, 7, 8, 9, 15, 11, 2, 3, 4, 5, 1, 3, 9, 5, 1, 2, 8, 4, 5, 1, 2, 8, 4, 10, 1, 2, 4, 5, 11, 7, 3, 9, 15, 1, 7, 8, 4, 15, 6, 12, 13, 10, 11, 7, 13, 4, 5, 6, 2, 8, 9, 15, 6, 2, 13, 14, 6, 7, 3, 9, 5, 6, 2, 3, 9, 5, 11, 12, 3, 9, 5, 7, 3, 9, 10, 1, 12, 8, 14, 10, 11, 2, 8, 4, 5, 6, 8, 14, 10, 11, 7, 3, 9, 10, 11, 7, 8, 9, 5, 6, 2, 9, 10, 6, 2, 3, 9, 10, 1, 7, 3, 9, 5, 11, 7, 8, 5, 11, 7, 8, 4, 5, 1, 12, 3, 14, 5, 6, 2, 8, 14, 6, 2, 3, 4, 5, 11, 12, 3, 9, 5, 1, 12, 8, 9, 10, 12, 3, 4, 5, 6, 2, 3, 14, 10, 11, 2, 8, 4, 10, 6, 8, 4, 5, 6, 2, 13, 4, 15, 11, 7, 8, 9, 10, 1, 2, 4, 5, 1, 2, 8, 4, 10, 6, 2, 8, 14, 10, 1, 2, 13, 15, 11, 2, 3, 9, 5, 6, 2, 3, 4, 5, 1, 2, 3, 9]"
1885.846864371862,1280482.9074459325,-194.9681669372294,"[5, 3, 9, 8, 11, 4, 0, 13, 1, 7, 2, 6, 10, 12, 14, 1, 2, 8, 4, 15, 1, 12, 8, 14, 5, 1, 2, 13, 9, 5, 12, 8, 14, 10, 1, 7, 13, 9, 15, 11, 7, 8, 4, 5, 6, 8, 9, 5, 6, 7, 8, 14, 5, 6, 2, 13, 9, 10, 1, 2, 4, 5, 1, 7, 13, 9, 5, 6, 7, 8, 4, 15, 1, 12, 13, 10, 6, 7, 8, 4, 10, 1, 2, 8, 9, 5, 1, 2, 13, 14, 6, 7, 13, 14, 15, 6, 2, 3, 9, 10, 6, 12, 3, 9, 15, 12, 3, 9, 5, 1, 12, 13, 14, 10, 11, 2, 8, 14, 5, 6, 3, 9, 15, 1, 7, 8, 14, 15, 11, 7, 13, 9, 10, 6, 2, 9, 5, 6, 2, 3, 14, 15, 6, 7, 3, 9, 5, 6, 2, 8, 5, 6, 2, 8, 9, 5, 1, 12, 3, 14, 5, 6, 12, 8, 14, 6, 2, 13, 4, 10, 11, 2, 13, 4, 10, 1, 7, 8, 4, 5, 12, 3, 4, 5, 1, 7, 3, 14, 5, 11, 12, 8, 14, 10, 11, 3, 4, 5, 6, 2, 13, 4, 5, 11, 7, 8, 9, 10, 1, 2, 4, 5, 1, 2, 13, 4, 10, 1, 2, 8, 4, 5, 1, 2, 13, 15, 1, 7, 13, 9, 10, 6, 2, 3, 4, 15, 1, 2, 3, 14]"
1473.058805208802,900035.4025871259,-268.83536170995666,"[13, 3, 9, 10, 8, 4, 0, 6, 1, 7, 2, 11, 12, 5, 14, 1, 2, 3, 4, 15, 1, 2, 8, 14, 5, 1, 2, 13, 9, 5, 12, 8, 14, 10, 1, 7, 8, 9, 5, 11, 2, 3, 4, 5, 1, 3, 9, 5, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 2, 4, 5, 11, 7, 3, 4, 5, 11, 12, 8, 4, 15, 6, 12, 13, 5, 11, 7, 8, 4, 10, 1, 2, 8, 9, 15, 11, 2, 13, 14, 6, 7, 3, 9, 5, 6, 2, 3, 9, 5, 11, 12, 3, 9, 5, 7, 3, 9, 10, 1, 7, 8, 14, 10, 11, 2, 8, 9, 5, 6, 3, 14, 10, 11, 7, 3, 4, 10, 11, 7, 13, 9, 5, 11, 2, 9, 5, 6, 2, 3, 9, 10, 1, 7, 3, 9, 5, 6, 12, 8, 5, 1, 7, 3, 4, 15, 1, 12, 3, 14, 5, 6, 2, 8, 14, 6, 2, 3, 4, 5, 11, 12, 3, 4, 15, 1, 7, 3, 4, 10, 12, 3, 9, 5, 1, 2, 3, 14, 5, 11, 2, 8, 4, 15, 6, 3, 4, 5, 6, 2, 13, 4, 15, 11, 7, 8, 9, 10, 1, 2, 4, 5, 1, 2, 13, 4, 10, 6, 2, 8, 4, 15, 1, 2, 13, 15, 1, 7, 3, 9, 5, 6, 2, 3, 4, 5, 1, 2, 3, 9]"
1473.058805208802,900035.4025871259,-268.83536170995666,"[13, 9, 10, 3, 8, 4, 0, 1, 7, 6, 2, 11, 12, 5, 14, 1, 2, 3, 4, 15, 1, 2, 8, 14, 5, 1, 2, 13, 9, 5, 12, 8, 14, 10, 1, 7, 8, 9, 5, 11, 2, 3, 4, 5, 1, 3, 9, 5, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 2, 4, 5, 11, 7, 3, 4, 5, 11, 12, 8, 4, 15, 6, 12, 13, 5, 11, 7, 8, 4, 10, 1, 2, 8, 9, 15, 11, 2, 13, 14, 6, 7, 3, 9, 5, 6, 2, 3, 9, 5, 11, 12, 3, 9, 5, 7, 3, 9, 10, 1, 7, 8, 14, 10, 11, 2, 8, 9, 5, 6, 3, 14, 10, 11, 7, 3, 4, 10, 11, 7, 13, 9, 5, 11, 2, 9, 5, 6, 2, 3, 9, 10, 1, 7, 3, 9, 5, 6, 12, 8, 5, 1, 7, 3, 4, 15, 1, 12, 3, 14, 5, 6, 2, 8, 14, 6, 2, 3, 4, 5, 11, 12, 3, 4, 15, 1, 7, 3, 4, 10, 12, 3, 9, 5, 1, 2, 3, 14, 5, 11, 2, 8, 4, 15, 6, 3, 4, 5, 6, 2, 13, 4, 15, 11, 7, 8, 9, 10, 1, 2, 4, 5, 1, 2, 13, 4, 10, 6, 2, 8, 4, 15, 1, 2, 13, 15, 1, 7, 3, 9, 5, 6, 2, 3, 4, 5, 1, 2, 3, 9]"
1460.658372308369,888575.8170370391,-273.66466290043286,"[13, 3, 9, 10, 8, 4, 0, 1, 7, 11, 5, 2, 12, 6, 14, 6, 2, 3, 4, 15, 1, 2, 8, 14, 5, 1, 2, 13, 9, 5, 12, 8, 14, 10, 1, 7, 8, 9, 5, 11, 2, 3, 4, 5, 1, 3, 9, 5, 6, 2, 8, 4, 5, 1, 2, 8, 9, 10, 1, 2, 4, 5, 11, 7, 3, 4, 5, 11, 2, 8, 4, 15, 6, 12, 13, 10, 11, 7, 8, 4, 10, 1, 2, 8, 4, 15, 11, 2, 13, 14, 6, 7, 3, 9, 5, 6, 2, 3, 9, 5, 11, 12, 3, 9, 5, 7, 3, 9, 10, 1, 7, 8, 14, 10, 11, 2, 8, 4, 5, 6, 3, 4, 10, 11, 7, 3, 4, 10, 11, 7, 13, 9, 5, 11, 2, 9, 5, 6, 2, 3, 9, 10, 1, 7, 3, 9, 5, 6, 12, 8, 5, 1, 7, 3, 4, 15, 1, 12, 3, 14, 5, 6, 2, 8, 14, 6, 2, 3, 4, 5, 11, 12, 3, 4, 15, 1, 7, 3, 9, 10, 12, 8, 4, 5, 6, 2, 3, 14, 5, 11, 2, 8, 4, 10, 6, 3, 4, 5, 6, 2, 13, 4, 15, 11, 7, 8, 9, 10, 1, 2, 4, 5, 1, 2, 13, 4, 10, 6, 2, 8, 4, 15, 1, 2, 13, 15, 1, 7, 3, 9, 5, 6, 2, 3, 4, 5, 1, 2, 3, 9]"
